"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","20.31","20.25","20.49","20.24","2.25M","0.05%"
"Oct 24, 2019","20.30","19.95","20.59","19.95","3.52M","1.81%"
"Oct 23, 2019","19.94","19.80","19.95","19.73","5.82M","0.86%"
"Oct 22, 2019","19.77","20.00","20.12","19.69","9.10M","-0.15%"
"Oct 21, 2019","19.80","19.82","20.00","19.75","4.18M","0.20%"
"Oct 18, 2019","19.76","19.92","19.97","19.70","5.14M","-0.65%"
"Oct 17, 2019","19.89","19.91","20.01","19.78","3.31M","-0.30%"
"Oct 16, 2019","19.95","19.85","20.02","19.84","4.16M","0.25%"
"Oct 15, 2019","19.90","19.95","20.15","19.83","4.76M","-0.10%"
"Oct 14, 2019","19.92","20.01","20.11","19.84","2.29M","-0.85%"
"Oct 11, 2019","20.09","20.24","20.26","19.97","4.47M","0.65%"
"Oct 10, 2019","19.96","19.95","20.01","19.77","3.72M","0.20%"
"Oct 09, 2019","19.92","19.66","20.06","19.64","5.89M","2.05%"
"Oct 08, 2019","19.52","20.48","20.48","19.34","7.79M","-5.24%"
"Oct 07, 2019","20.60","20.93","21.05","20.55","6.58M","-1.53%"
"Oct 04, 2019","20.92","20.14","21.10","20.07","11.98M","3.10%"
"Oct 03, 2019","20.29","19.86","20.43","19.80","13.36M","1.91%"
"Oct 02, 2019","19.91","20.20","20.73","18.84","50.51M","30.05%"
"Oct 01, 2019","15.31","15.01","15.61","14.99","1.80M","2.20%"
"Sep 30, 2019","14.98","15.04","15.15","14.93","1.79M","-0.60%"
"Sep 27, 2019","15.07","15.38","15.50","14.97","1.79M","-1.50%"
"Sep 26, 2019","15.30","15.23","15.70","15.12","2.09M","-0.13%"
"Sep 25, 2019","15.32","15.02","15.54","14.94","1.81M","2.07%"
"Sep 24, 2019","15.01","15.65","15.65","14.86","3.04M","-3.35%"
"Sep 23, 2019","15.53","15.60","15.80","15.24","2.63M","-1.71%"
"Sep 20, 2019","15.80","15.39","15.98","15.39","1.25M","1.94%"
"Sep 19, 2019","15.50","15.80","15.92","15.44","1.25M","-1.77%"
"Sep 18, 2019","15.78","16.15","16.34","15.68","837.89K","-2.77%"
"Sep 17, 2019","16.23","16.49","16.50","16.18","1.15M","-1.40%"
"Sep 16, 2019","16.46","16.04","16.55","16.04","1.54M","1.86%"
"Sep 13, 2019","16.16","16.30","16.42","16.08","2.49M","-0.55%"
"Sep 12, 2019","16.25","16.15","16.33","16.06","2.29M","0.06%"
"Sep 11, 2019","16.24","16.28","16.48","16.12","2.41M","-0.12%"
"Sep 10, 2019","16.26","16.14","16.44","15.85","2.56M","-1.22%"
"Sep 09, 2019","16.46","16.27","16.52","16.24","1.33M","1.17%"
"Sep 06, 2019","16.27","16.13","16.43","15.92","1.24M","0.49%"
"Sep 05, 2019","16.19","15.85","16.33","15.85","1.74M","2.86%"
"Sep 04, 2019","15.74","15.53","15.87","15.44","1.96M","2.54%"
"Sep 03, 2019","15.35","15.29","15.38","14.99","1.73M","1.05%"
"Aug 30, 2019","15.19","15.17","15.47","15.07","1.05M","0.40%"
"Aug 29, 2019","15.13","14.95","15.27","14.94","970.88K","2.23%"
"Aug 28, 2019","14.80","14.45","14.85","14.41","1.57M","1.93%"
"Aug 27, 2019","14.52","14.35","14.54","14.27","1.75M","2.18%"
"Aug 26, 2019","14.21","14.17","14.27","13.86","2.33M","1.00%"
"Aug 23, 2019","14.07","14.23","14.43","13.99","2.03M","-1.47%"
"Aug 22, 2019","14.28","13.98","14.29","13.98","2.25M","1.93%"
"Aug 21, 2019","14.01","14.08","14.17","13.95","1.57M","0.14%"
"Aug 20, 2019","13.99","14.12","14.16","13.92","2.75M","-0.92%"
"Aug 19, 2019","14.12","14.02","14.21","13.96","2.42M","1.22%"
"Aug 16, 2019","13.95","13.67","14.03","13.49","2.92M","3.72%"
"Aug 15, 2019","13.45","13.38","13.89","13.35","4.48M","1.66%"
"Aug 14, 2019","13.23","13.25","13.48","12.93","2.89M","-1.49%"
"Aug 13, 2019","13.43","13.30","13.96","13.29","3.07M","3.47%"
"Aug 12, 2019","12.98","15.02","15.59","12.59","10.82M","-18.77%"
"Aug 09, 2019","15.98","15.56","16.05","15.52","3.26M","2.50%"
"Aug 08, 2019","15.59","15.15","15.83","15.15","3.68M","3.52%"
"Aug 07, 2019","15.06","14.84","15.10","14.52","2.39M","0.47%"
"Aug 06, 2019","14.99","15.11","15.57","14.91","2.51M","-0.66%"
"Aug 05, 2019","15.09","15.07","15.25","14.99","2.80M","-1.37%"
"Aug 02, 2019","15.30","15.44","15.57","15.13","1.93M","-0.97%"
"Aug 01, 2019","15.45","15.61","16.21","15.37","1.98M","-0.64%"
"Jul 31, 2019","15.55","16.24","16.33","15.47","2.46M","-4.19%"
"Jul 30, 2019","16.23","16.75","16.75","16.15","1.43M","-2.64%"
"Jul 29, 2019","16.67","16.72","16.88","16.39","1.26M","-0.42%"
"Jul 26, 2019","16.74","16.34","16.75","16.31","1.07M","2.51%"
"Jul 25, 2019","16.33","16.40","16.47","16.16","1.31M","-0.37%"
"Jul 24, 2019","16.39","15.99","16.41","15.91","2.20M","2.25%"
"Jul 23, 2019","16.03","15.70","16.08","15.64","1.02M","2.23%"
"Jul 22, 2019","15.68","15.83","15.92","15.57","1.45M","-0.95%"
"Jul 19, 2019","15.83","15.91","16.11","15.74","1.37M","-0.94%"
"Jul 18, 2019","15.98","16.49","16.54","15.81","2.21M","-3.68%"
"Jul 17, 2019","16.59","16.94","17.00","16.55","991.24K","-2.07%"
"Jul 16, 2019","16.94","16.48","17.00","16.35","1.96M","2.92%"
"Jul 15, 2019","16.46","16.36","16.67","16.26","1.23M","0.92%"
"Jul 12, 2019","16.31","15.97","16.32","15.93","2.18M","1.87%"
"Jul 11, 2019","16.01","16.03","16.20","15.93","1.03M","0.00%"
"Jul 10, 2019","16.01","16.15","16.25","15.86","1.83M","-0.81%"
"Jul 09, 2019","16.14","16.32","16.40","16.09","1.80M","-1.82%"
"Jul 08, 2019","16.44","16.79","16.82","16.42","1.25M","-2.89%"
"Jul 05, 2019","16.93","16.63","16.97","16.54","706.40K","1.56%"
"Jul 03, 2019","16.67","16.66","16.77","16.33","1.37M","0.00%"
"Jul 02, 2019","16.67","17.25","17.25","16.50","1.65M","-2.51%"
"Jul 01, 2019","17.10","17.24","17.68","17.07","1.18M","0.18%"
"Jun 28, 2019","17.07","17.10","17.20","16.84","1.53M","0.41%"
"Jun 27, 2019","17.00","16.24","17.05","16.24","2.54M","4.87%"
"Jun 26, 2019","16.21","16.16","16.50","16.10","1.89M","0.43%"
"Jun 25, 2019","16.14","16.50","16.50","16.09","1.60M","-1.16%"
"Jun 24, 2019","16.33","16.70","16.70","16.18","2.74M","-1.63%"
"Jun 21, 2019","16.60","16.70","16.73","16.52","2.44M","-0.36%"
"Jun 20, 2019","16.66","16.83","16.90","16.62","2.41M","0.00%"
"Jun 19, 2019","16.66","16.75","16.86","16.62","1.43M","-0.24%"
"Jun 18, 2019","16.70","16.37","16.98","16.32","2.01M","2.27%"
"Jun 17, 2019","16.33","16.43","16.51","16.10","1.29M","-0.37%"
"Jun 14, 2019","16.39","16.50","16.61","16.35","1.36M","-0.55%"
"Jun 13, 2019","16.48","16.55","16.61","16.03","4.22M","0.92%"
"Jun 12, 2019","16.33","16.72","16.72","16.02","2.29M","-2.74%"
"Jun 11, 2019","16.79","17.05","17.07","16.71","1.30M","-0.53%"
"Jun 10, 2019","16.88","16.94","17.01","16.80","1.55M","0.18%"
"Jun 07, 2019","16.85","16.65","16.97","16.65","1.15M","1.57%"
"Jun 06, 2019","16.59","17.03","17.16","16.56","1.65M","-2.58%"
"Jun 05, 2019","17.03","17.05","17.15","16.94","2.52M","-0.06%"
"Jun 04, 2019","17.04","16.82","17.21","16.60","1.75M","2.28%"
"Jun 03, 2019","16.66","16.59","16.85","16.36","2.03M","0.60%"
"May 31, 2019","16.56","15.98","16.64","15.98","4.52M","1.47%"
"May 30, 2019","16.32","16.50","16.64","16.24","2.14M","-1.03%"
"May 29, 2019","16.49","16.79","16.80","16.40","2.43M","-2.60%"
"May 28, 2019","16.93","16.93","17.02","16.74","4.07M","-0.29%"
"May 24, 2019","16.98","16.91","17.05","16.68","1.61M","1.07%"
"May 23, 2019","16.80","17.16","17.20","16.60","2.81M","-2.95%"
"May 22, 2019","17.31","17.21","17.36","16.81","3.39M","-0.46%"
"May 21, 2019","17.39","17.97","17.97","17.14","4.31M","-2.69%"
"May 20, 2019","17.87","17.70","17.95","17.57","1.96M","-0.28%"
"May 17, 2019","17.92","18.40","18.40","17.85","2.42M","-3.50%"
"May 16, 2019","18.57","17.83","18.66","16.86","8.10M","1.75%"
"May 15, 2019","18.25","17.98","18.50","17.59","6.29M","-1.30%"
"May 14, 2019","18.49","18.80","19.11","18.37","2.83M","-0.54%"
"May 13, 2019","18.59","19.37","19.42","18.49","4.72M","-5.78%"
"May 10, 2019","19.73","20.09","20.21","18.66","4.31M","-1.89%"
"May 09, 2019","20.11","21.44","21.73","19.78","14.68M","14.98%"
"May 08, 2019","17.49","17.58","17.92","17.49","1.05M","-0.57%"
"May 07, 2019","17.59","17.63","17.82","17.53","1.16M","-1.62%"
"May 06, 2019","17.88","17.64","17.95","17.46","1.17M","-0.83%"
"May 03, 2019","18.03","18.08","18.21","17.93","788.39K","0.22%"
"May 02, 2019","17.99","18.19","18.36","17.74","1.81M","-1.10%"
"May 01, 2019","18.19","18.89","18.96","17.99","2.54M","-3.71%"
"Apr 30, 2019","18.89","18.92","19.11","18.64","2.07M","0.37%"
"Apr 29, 2019","18.82","19.10","19.10","18.80","1.51M","-1.36%"
"Apr 26, 2019","19.08","18.66","19.18","18.64","860.01K","2.31%"
"Apr 25, 2019","18.65","19.02","19.02","18.57","1.46M","-1.69%"
"Apr 24, 2019","18.97","18.99","19.09","18.59","1.61M","-0.21%"
"Apr 23, 2019","19.01","19.04","19.42","18.92","823.62K","-0.37%"
"Apr 22, 2019","19.08","19.30","19.45","19.03","661.17K","-1.55%"
