"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","51.69","51.50","51.84","51.50","302.59K","0.74%"
"Oct 28, 2019","51.31","51.39","51.48","51.07","7.73M","0.35%"
"Oct 25, 2019","51.13","50.80","51.23","50.69","6.30M","0.35%"
"Oct 24, 2019","50.95","50.49","51.05","50.23","7.02M","1.55%"
"Oct 23, 2019","50.17","50.10","50.40","49.92","7.13M","-0.93%"
"Oct 22, 2019","50.64","50.30","50.83","50.18","10.72M","1.28%"
"Oct 21, 2019","50.00","49.53","50.11","49.33","6.88M","1.46%"
"Oct 18, 2019","49.28","49.65","50.09","49.13","9.17M","-0.94%"
"Oct 17, 2019","49.75","51.14","51.21","49.26","12.42M","-0.76%"
"Oct 16, 2019","50.13","50.34","51.13","50.07","13.71M","-0.52%"
"Oct 15, 2019","50.39","50.20","50.64","50.11","9.63M","0.96%"
"Oct 14, 2019","49.91","49.42","50.13","49.30","7.99M","0.99%"
"Oct 11, 2019","49.42","49.45","49.79","49.33","7.52M","1.00%"
"Oct 10, 2019","48.93","48.91","49.39","48.49","9.57M","0.51%"
"Oct 09, 2019","48.68","48.20","49.05","48.17","11.49M","1.71%"
"Oct 08, 2019","47.86","48.26","48.40","47.60","13.18M","-0.19%"
"Oct 07, 2019","47.95","47.73","48.15","47.43","11.41M","1.12%"
"Oct 04, 2019","47.42","47.03","47.45","46.78","5.72M","0.62%"
"Oct 03, 2019","47.13","46.45","47.14","46.24","6.21M","1.51%"
"Oct 02, 2019","46.43","46.71","46.94","46.33","5.79M","-1.61%"
"Oct 01, 2019","47.19","46.96","47.85","46.96","11.60M","1.53%"
"Sep 30, 2019","46.48","46.57","46.74","46.12","8.48M","2.13%"
"Sep 27, 2019","45.51","46.00","46.48","45.19","9.61M","-2.04%"
"Sep 26, 2019","46.46","45.10","46.51","45.10","15.88M","3.22%"
"Sep 25, 2019","45.01","44.20","45.09","44.00","6.82M","2.02%"
"Sep 24, 2019","44.12","44.40","44.55","44.06","8.03M","0.11%"
"Sep 23, 2019","44.07","44.18","44.29","43.85","5.00M","0.46%"
"Sep 20, 2019","43.87","44.77","44.90","43.87","7.40M","-2.29%"
"Sep 19, 2019","44.90","44.80","45.22","44.76","6.62M","-0.31%"
"Sep 18, 2019","45.04","45.17","45.20","44.61","4.06M","-0.20%"
"Sep 17, 2019","45.13","44.28","45.15","44.21","6.14M","1.19%"
"Sep 16, 2019","44.60","44.53","44.74","44.49","3.72M","-0.31%"
"Sep 13, 2019","44.74","44.43","44.83","44.19","6.23M","1.52%"
"Sep 12, 2019","44.07","44.29","44.46","43.93","6.58M","-0.34%"
"Sep 11, 2019","44.22","43.91","44.27","43.84","4.02M","0.27%"
"Sep 10, 2019","44.10","43.60","44.10","43.36","5.00M","0.57%"
"Sep 09, 2019","43.85","43.91","44.08","43.54","4.68M","0.32%"
"Sep 06, 2019","43.71","44.00","44.03","43.69","4.33M","-1.20%"
"Sep 05, 2019","44.24","43.76","44.51","43.76","7.70M","2.53%"
"Sep 04, 2019","43.15","42.61","43.15","42.39","4.47M","3.43%"
"Sep 03, 2019","41.72","42.15","42.16","41.58","4.75M","-2.13%"
"Aug 30, 2019","42.63","42.71","42.89","42.36","5.38M","0.83%"
"Aug 29, 2019","42.28","42.34","42.56","42.23","5.17M","1.51%"
"Aug 28, 2019","41.65","41.32","41.77","41.05","3.59M","0.73%"
"Aug 27, 2019","41.35","41.55","41.67","41.27","4.19M","0.02%"
"Aug 26, 2019","41.34","41.37","41.55","41.13","5.52M","0.95%"
"Aug 23, 2019","40.95","41.94","42.15","40.86","7.53M","-2.80%"
"Aug 22, 2019","42.13","42.39","42.48","41.73","3.15M","-1.06%"
"Aug 21, 2019","42.58","42.41","42.63","42.29","3.91M","1.53%"
"Aug 20, 2019","41.94","42.00","42.22","41.72","7.54M","0.38%"
"Aug 19, 2019","41.78","42.16","42.21","41.65","3.80M","0.58%"
"Aug 16, 2019","41.54","41.18","41.73","41.15","4.85M","1.66%"
"Aug 15, 2019","40.86","40.38","40.99","40.34","7.69M","1.06%"
"Aug 14, 2019","40.43","40.85","41.09","40.25","9.62M","-3.37%"
"Aug 13, 2019","41.84","40.63","41.99","40.55","7.83M","2.15%"
"Aug 12, 2019","40.96","41.05","41.27","40.85","3.46M","-1.09%"
"Aug 09, 2019","41.41","41.59","41.71","41.00","3.48M","-1.17%"
"Aug 08, 2019","41.90","41.85","42.18","41.75","7.80M","1.55%"
"Aug 07, 2019","41.26","41.05","41.45","40.80","5.48M","0.00%"
"Aug 06, 2019","41.26","41.18","41.51","40.89","8.67M","3.49%"
"Aug 05, 2019","39.87","40.41","40.52","39.78","6.67M","-4.27%"
"Aug 02, 2019","41.65","41.15","41.77","41.01","9.32M","-0.53%"
"Aug 01, 2019","41.87","42.75","43.39","41.60","9.66M","-1.78%"
"Jul 31, 2019","42.63","43.03","43.17","42.05","7.59M","-1.11%"
"Jul 30, 2019","43.11","43.40","43.40","42.77","4.94M","-1.89%"
"Jul 29, 2019","43.94","43.52","43.95","43.40","4.14M","1.10%"
"Jul 26, 2019","43.46","43.73","43.89","43.38","4.40M","-0.37%"
"Jul 25, 2019","43.62","44.21","44.24","43.62","6.59M","-2.07%"
"Jul 24, 2019","44.54","44.50","44.63","44.24","7.13M","0.27%"
"Jul 23, 2019","44.42","44.54","44.58","44.23","6.57M","-0.40%"
"Jul 22, 2019","44.60","44.20","44.88","44.13","10.04M","1.76%"
"Jul 19, 2019","43.83","43.08","44.02","43.07","11.44M","1.48%"
"Jul 18, 2019","43.19","42.52","43.23","42.31","11.26M","3.75%"
"Jul 17, 2019","41.63","41.68","41.91","41.52","5.51M","-0.34%"
"Jul 16, 2019","41.77","41.80","41.95","41.57","6.53M","-0.12%"
"Jul 15, 2019","41.82","41.75","41.93","41.66","5.78M","1.43%"
"Jul 12, 2019","41.23","41.11","41.27","40.82","4.70M","0.81%"
"Jul 11, 2019","40.90","41.14","41.19","40.83","6.13M","0.47%"
"Jul 10, 2019","40.71","40.83","41.14","40.55","7.94M","2.62%"
"Jul 09, 2019","39.67","39.65","40.01","39.42","6.58M","0.89%"
"Jul 08, 2019","39.32","39.57","39.69","39.24","6.77M","-1.53%"
"Jul 05, 2019","39.93","39.87","40.10","39.63","3.15M","-0.99%"
"Jul 03, 2019","40.33","40.35","40.37","40.01","3.13M","-1.15%"
"Jul 02, 2019","40.80","41.19","41.31","40.74","4.45M","-1.40%"
"Jul 01, 2019","41.38","41.54","41.90","41.15","11.09M","5.64%"
"Jun 28, 2019","39.17","39.73","39.73","39.12","7.04M","-1.06%"
"Jun 27, 2019","39.59","39.58","39.76","39.29","11.38M","1.31%"
"Jun 26, 2019","39.08","39.38","39.38","38.98","9.13M","0.41%"
"Jun 25, 2019","38.92","39.52","39.52","38.91","6.79M","-2.65%"
"Jun 24, 2019","39.98","39.56","40.07","39.44","6.57M","-1.33%"
"Jun 21, 2019","40.52","40.52","40.70","40.42","12.77M","0.02%"
"Jun 20, 2019","40.51","40.45","40.72","40.13","10.40M","2.82%"
"Jun 19, 2019","39.40","39.94","39.96","39.30","10.22M","0.48%"
"Jun 18, 2019","39.21","38.27","39.41","38.22","12.30M","4.12%"
"Jun 17, 2019","37.66","37.92","38.05","37.66","6.50M","-0.48%"
"Jun 14, 2019","37.84","38.63","38.70","37.83","11.28M","-4.08%"
"Jun 13, 2019","39.45","39.62","39.62","39.03","6.65M","-0.03%"
"Jun 12, 2019","39.46","40.00","40.19","39.45","6.16M","-1.25%"
"Jun 11, 2019","39.96","40.47","40.60","39.94","6.10M","0.86%"
"Jun 10, 2019","39.62","39.49","40.13","39.45","8.35M","2.06%"
"Jun 07, 2019","38.82","38.74","39.00","38.56","4.46M","0.99%"
"Jun 06, 2019","38.44","38.18","38.59","37.91","6.23M","0.55%"
"Jun 05, 2019","38.23","39.24","39.26","38.10","8.22M","-2.12%"
"Jun 04, 2019","39.06","38.64","39.10","38.42","6.99M","0.62%"
"Jun 03, 2019","38.82","38.96","39.09","38.66","9.62M","1.23%"
"May 31, 2019","38.35","38.27","38.97","38.25","9.30M","0.81%"
"May 30, 2019","38.04","37.95","38.37","37.84","7.35M","0.93%"
"May 29, 2019","37.69","37.46","37.75","37.18","13.04M","0.11%"
"May 28, 2019","37.65","38.13","38.20","37.65","12.48M","-1.44%"
"May 24, 2019","38.20","38.42","38.74","38.19","10.54M","0.34%"
"May 23, 2019","38.07","37.98","38.18","37.41","14.71M","-2.13%"
"May 22, 2019","38.90","39.20","39.39","38.88","12.22M","-1.02%"
"May 21, 2019","39.30","39.15","39.34","38.66","11.81M","1.66%"
"May 20, 2019","38.66","39.25","39.30","38.52","13.98M","-3.95%"
"May 17, 2019","40.25","40.39","40.95","40.09","11.27M","-3.08%"
"May 16, 2019","41.53","41.63","41.64","41.22","9.21M","-1.05%"
"May 15, 2019","41.97","41.55","42.33","41.46","5.35M","0.00%"
"May 14, 2019","41.97","41.59","42.08","41.40","7.11M","2.39%"
"May 13, 2019","40.99","41.37","41.51","40.73","11.05M","-4.30%"
"May 10, 2019","42.83","42.86","43.09","42.19","8.31M","-0.97%"
"May 09, 2019","43.25","42.92","43.30","42.28","11.23M","-1.03%"
"May 08, 2019","43.70","43.52","44.00","43.46","8.11M","-0.14%"
"May 07, 2019","43.76","43.83","44.05","43.29","10.23M","0.00%"
"May 06, 2019","43.76","43.32","43.82","43.21","10.76M","-2.12%"
"May 03, 2019","44.71","44.93","45.14","44.56","5.48M","0.70%"
"May 02, 2019","44.40","43.86","44.47","43.75","10.72M","1.32%"
"May 01, 2019","43.82","44.29","44.55","43.82","7.32M","0.00%"
"Apr 30, 2019","43.82","43.40","43.94","43.26","11.86M","-0.02%"
"Apr 29, 2019","43.83","43.85","43.92","43.58","9.27M","-0.25%"
"Apr 26, 2019","43.94","43.65","44.00","43.32","12.75M","-1.21%"
"Apr 25, 2019","44.48","44.93","45.04","44.43","10.15M","-2.05%"
"Apr 24, 2019","45.41","45.08","45.59","44.94","10.78M","-0.02%"
