"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","20.720","20.620","20.840","20.570","2.96M","0.29%"
"Oct 24, 2019","20.660","20.970","20.980","20.500","3.04M","-1.29%"
"Oct 23, 2019","20.930","20.800","21.010","20.650","3.63M","0.38%"
"Oct 22, 2019","20.850","20.930","21.135","20.720","2.86M","0.05%"
"Oct 21, 2019","20.840","20.810","21.060","20.740","1.98M","1.51%"
"Oct 18, 2019","20.530","20.730","20.860","20.410","1.84M","-0.73%"
"Oct 17, 2019","20.680","20.910","20.920","20.550","1.74M","0.49%"
"Oct 16, 2019","20.580","20.950","21.120","20.550","2.22M","-1.06%"
"Oct 15, 2019","20.800","20.950","21.090","20.670","1.85M","0.78%"
"Oct 14, 2019","20.640","20.720","20.985","20.560","2.42M","-2.18%"
"Oct 11, 2019","21.100","20.750","21.290","20.740","2.63M","2.08%"
"Oct 10, 2019","20.670","20.410","20.730","20.310","2.67M","2.28%"
"Oct 09, 2019","20.210","20.360","20.450","20.080","2.28M","0.60%"
"Oct 08, 2019","20.090","20.080","20.280","19.990","2.38M","-0.79%"
"Oct 07, 2019","20.250","20.330","20.570","20.225","1.78M","0.35%"
"Oct 04, 2019","20.180","20.280","20.390","20.100","2.14M","-0.74%"
"Oct 03, 2019","20.330","20.090","20.370","19.955","2.29M","0.89%"
"Oct 02, 2019","20.150","20.140","20.360","19.990","3.97M","-2.61%"
"Oct 01, 2019","20.690","21.240","21.300","20.590","2.57M","-2.31%"
"Sep 30, 2019","21.180","21.150","21.270","21.010","2.57M","-0.70%"
"Sep 27, 2019","21.330","20.880","21.420","20.825","3.54M","3.29%"
"Sep 26, 2019","20.650","20.870","20.900","20.485","2.21M","-2.23%"
"Sep 25, 2019","21.120","20.640","21.150","20.580","1.86M","0.67%"
"Sep 24, 2019","20.980","21.520","21.550","20.740","2.88M","-2.69%"
"Sep 23, 2019","21.560","21.360","21.590","21.190","1.93M","-0.69%"
"Sep 20, 2019","21.710","21.890","22.055","21.610","2.63M","-1.27%"
"Sep 19, 2019","21.990","22.520","22.550","21.960","2.03M","-1.52%"
"Sep 18, 2019","22.330","22.340","22.570","22.290","2.07M","-1.28%"
