"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","11.61","11.01","11.84","10.97","1.58M","7.80%"
"Oct 24, 2019","10.77","11.14","11.14","10.77","938.86K","-2.53%"
"Oct 23, 2019","11.05","10.80","11.06","10.76","834.36K","1.66%"
"Oct 22, 2019","10.87","10.96","11.13","10.84","979.94K","-0.82%"
"Oct 21, 2019","10.96","11.00","11.12","10.89","1.27M","-0.27%"
"Oct 18, 2019","10.99","11.06","11.16","10.97","1.28M","-0.63%"
"Oct 17, 2019","11.06","11.11","11.28","11.01","2.34M","-0.54%"
"Oct 16, 2019","11.12","11.09","11.21","10.99","918.33K","0.63%"
"Oct 15, 2019","11.05","11.07","11.15","10.98","2.49M","-0.27%"
"Oct 14, 2019","11.08","10.74","11.10","10.63","2.24M","4.04%"
"Oct 11, 2019","10.65","10.37","10.69","10.37","1.08M","3.90%"
"Oct 10, 2019","10.25","9.81","10.27","9.80","1.14M","4.27%"
"Oct 09, 2019","9.83","9.93","10.01","9.73","649.50K","-0.10%"
"Oct 08, 2019","9.84","9.78","9.96","9.65","871.62K","0.41%"
"Oct 07, 2019","9.80","9.77","9.96","9.77","653.51K","-0.41%"
"Oct 04, 2019","9.84","9.64","9.92","9.64","793.19K","2.39%"
"Oct 03, 2019","9.61","9.48","9.71","9.41","567.07K","1.37%"
"Oct 02, 2019","9.48","9.81","9.83","9.47","870.53K","-3.85%"
"Oct 01, 2019","9.86","9.80","9.95","9.73","794.59K","0.82%"
"Sep 30, 2019","9.78","9.49","9.93","9.41","1.31M","2.95%"
"Sep 27, 2019","9.50","9.66","9.75","9.42","1.75M","-0.84%"
"Sep 26, 2019","9.58","10.39","10.41","9.58","3.19M","-7.88%"
"Sep 25, 2019","10.40","10.48","10.52","10.32","1.90M","-1.33%"
"Sep 24, 2019","10.54","10.65","10.69","10.48","2.14M","-0.94%"
"Sep 23, 2019","10.64","10.45","10.68","10.39","2.65M","0.95%"
"Sep 20, 2019","10.54","10.37","10.73","10.23","2.27M","2.03%"
"Sep 19, 2019","10.33","10.46","10.54","10.28","1.37M","-1.62%"
"Sep 18, 2019","10.50","10.27","10.57","10.27","1.68M","1.74%"
"Sep 17, 2019","10.32","9.88","10.35","9.86","1.65M","3.61%"
"Sep 16, 2019","9.96","9.78","10.05","9.71","1.17M","1.74%"
"Sep 13, 2019","9.79","9.36","9.80","9.36","1.53M","4.59%"
"Sep 12, 2019","9.36","9.42","9.59","9.34","851.20K","-0.74%"
"Sep 11, 2019","9.43","9.41","9.47","9.24","1.15M","0.86%"
"Sep 10, 2019","9.35","9.16","9.40","9.13","1.89M","1.85%"
"Sep 09, 2019","9.18","9.26","9.39","9.08","1.03M","0.00%"
"Sep 06, 2019","9.18","8.85","9.22","8.85","1.03M","3.73%"
"Sep 05, 2019","8.85","8.99","9.11","8.76","1.69M","0.00%"
"Sep 04, 2019","8.85","8.56","8.90","8.56","1.61M","3.75%"
"Sep 03, 2019","8.53","8.83","8.83","8.46","1.30M","-3.51%"
"Aug 30, 2019","8.84","8.36","8.86","8.31","2.21M","6.38%"
"Aug 29, 2019","8.31","8.11","8.35","8.11","639.16K","2.85%"
"Aug 28, 2019","8.08","7.89","8.15","7.81","1.13M","1.89%"
"Aug 27, 2019","7.93","7.88","8.05","7.83","1.57M","1.41%"
"Aug 26, 2019","7.82","7.75","7.84","7.68","1.06M","1.43%"
"Aug 23, 2019","7.71","7.60","7.88","7.60","1.64M","0.52%"
"Aug 22, 2019","7.67","7.77","7.82","7.56","1.23M","-1.16%"
"Aug 21, 2019","7.76","7.95","7.97","7.69","717.35K","-1.77%"
"Aug 20, 2019","7.90","7.83","8.05","7.79","995.20K","0.13%"
"Aug 19, 2019","7.89","7.95","8.00","7.88","1.19M","-0.13%"
"Aug 16, 2019","7.90","7.84","7.97","7.77","2.12M","1.54%"
"Aug 15, 2019","7.78","7.73","7.85","7.42","3.84M","0.65%"
"Aug 14, 2019","7.73","8.21","8.27","7.68","3.98M","-6.64%"
"Aug 13, 2019","8.28","8.56","8.68","8.25","1.79M","-2.93%"
"Aug 12, 2019","8.53","8.65","8.70","8.45","2.30M","-2.51%"
"Aug 09, 2019","8.75","9.01","9.03","8.71","1.97M","-2.78%"
"Aug 08, 2019","9.00","9.16","9.21","8.89","1.22M","-1.85%"
"Aug 07, 2019","9.17","8.75","9.17","8.65","1.64M","3.85%"
"Aug 06, 2019","8.83","9.00","9.03","8.71","1.60M","-1.12%"
"Aug 05, 2019","8.93","9.40","9.43","8.93","3.46M","-6.59%"
"Aug 02, 2019","9.56","9.47","9.57","9.40","1.64M","0.31%"
"Aug 01, 2019","9.53","9.50","9.71","9.40","2.06M","0.21%"
"Jul 31, 2019","9.51","9.31","9.62","9.24","3.53M","2.26%"
"Jul 30, 2019","9.30","9.27","9.32","9.16","1.39M","-0.21%"
"Jul 29, 2019","9.32","9.25","9.37","9.18","1.33M","0.76%"
"Jul 26, 2019","9.25","9.44","9.53","9.11","2.16M","-1.49%"
"Jul 25, 2019","9.39","9.29","9.45","9.27","2.20M","1.84%"
"Jul 24, 2019","9.22","9.15","9.23","9.10","1.80M","1.32%"
"Jul 23, 2019","9.10","9.10","9.20","8.92","2.01M","0.44%"
"Jul 22, 2019","9.06","9.21","9.25","8.89","1.34M","-0.98%"
"Jul 19, 2019","9.15","9.13","9.17","9.00","1.74M","0.44%"
"Jul 18, 2019","9.11","9.05","9.12","8.91","1.84M","0.33%"
"Jul 17, 2019","9.08","9.04","9.19","8.97","2.09M","0.67%"
"Jul 16, 2019","9.02","9.61","9.64","9.00","3.01M","-5.94%"
"Jul 15, 2019","9.59","9.55","9.63","9.45","1.75M","0.63%"
"Jul 12, 2019","9.53","9.49","9.61","9.36","2.60M","0.63%"
"Jul 11, 2019","9.47","9.40","9.56","9.28","4.26M","1.83%"
"Jul 10, 2019","9.30","8.85","9.42","8.80","5.97M","6.41%"
"Jul 09, 2019","8.74","8.62","8.76","8.54","5.09M","1.63%"
"Jul 08, 2019","8.60","8.73","8.78","8.45","3.81M","-1.83%"
"Jul 05, 2019","8.76","8.65","8.76","8.55","2.35M","1.74%"
"Jul 03, 2019","8.61","8.46","8.65","8.38","1.28M","1.53%"
"Jul 02, 2019","8.48","8.52","8.63","8.46","2.78M","-0.24%"
"Jul 01, 2019","8.50","8.55","8.61","8.45","3.30M","0.71%"
"Jun 28, 2019","8.44","8.57","8.61","8.30","2.72M","-0.71%"
"Jun 27, 2019","8.50","8.42","8.53","8.22","4.46M","0.47%"
"Jun 26, 2019","8.46","8.51","8.58","8.41","2.61M","0.12%"
"Jun 25, 2019","8.45","8.70","8.70","8.25","3.56M","-2.42%"
"Jun 24, 2019","8.66","8.85","8.85","8.63","2.47M","-2.91%"
"Jun 21, 2019","8.92","9.01","9.03","8.77","1.49M","-1.44%"
"Jun 20, 2019","9.05","9.21","9.29","9.01","2.04M","-0.55%"
"Jun 19, 2019","9.10","9.16","9.17","9.01","2.28M","-0.66%"
"Jun 18, 2019","9.16","9.10","9.23","9.09","2.62M","1.66%"
"Jun 17, 2019","9.01","8.99","9.13","8.88","2.15M","0.78%"
"Jun 14, 2019","8.94","9.18","9.18","8.90","2.16M","-2.61%"
"Jun 13, 2019","9.18","9.39","9.47","9.12","2.35M","-2.03%"
"Jun 12, 2019","9.37","9.37","9.44","9.23","4.72M","-0.32%"
"Jun 11, 2019","9.40","9.44","9.57","9.38","2.17M","0.11%"
