"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","11.95","11.91","12.01","11.91","2.74M","1.53%"
"Oct 25, 2019","11.77","11.74","11.82","11.71","2.55M","0.68%"
"Oct 24, 2019","11.69","11.78","11.85","11.63","2.87M","0.43%"
"Oct 23, 2019","11.64","11.61","11.67","11.59","3.25M","1.22%"
"Oct 22, 2019","11.50","11.54","11.63","11.45","3.03M","-0.35%"
"Oct 21, 2019","11.54","11.60","11.66","11.53","3.98M","1.67%"
"Oct 18, 2019","11.35","11.30","11.37","11.29","2.27M","0.80%"
"Oct 17, 2019","11.26","11.36","11.40","11.25","3.76M","0.72%"
"Oct 16, 2019","11.18","11.34","11.39","11.17","4.75M","-0.71%"
"Oct 15, 2019","11.26","11.13","11.30","11.07","2.53M","1.90%"
"Oct 14, 2019","11.05","11.10","11.15","11.05","1.74M","-0.45%"
"Oct 11, 2019","11.10","11.10","11.16","11.07","2.79M","2.97%"
"Oct 10, 2019","10.78","10.72","10.79","10.69","3.09M","1.89%"
"Oct 09, 2019","10.58","10.60","10.64","10.53","2.33M","-0.09%"
"Oct 08, 2019","10.59","10.59","10.66","10.54","2.48M","-0.84%"
"Oct 07, 2019","10.68","10.74","10.76","10.67","1.96M","-0.47%"
"Oct 04, 2019","10.73","10.63","10.74","10.62","1.96M","0.94%"
"Oct 03, 2019","10.63","10.61","10.69","10.52","3.70M","-0.93%"
"Oct 02, 2019","10.73","10.88","10.92","10.71","7.20M","-3.68%"
"Oct 01, 2019","11.14","11.30","11.34","11.12","3.68M","-1.50%"
"Sep 30, 2019","11.31","11.39","11.40","11.31","1.83M","-0.09%"
"Sep 27, 2019","11.32","11.31","11.37","11.25","1.89M","0.98%"
"Sep 26, 2019","11.21","11.20","11.27","11.19","1.89M","-0.18%"
"Sep 25, 2019","11.23","11.13","11.23","11.12","2.33M","0.00%"
"Sep 24, 2019","11.23","11.35","11.36","11.21","2.84M","-1.06%"
"Sep 23, 2019","11.35","11.27","11.37","11.22","1.81M","-0.87%"
"Sep 20, 2019","11.45","11.54","11.57","11.45","2.62M","-0.61%"
"Sep 19, 2019","11.52","11.56","11.62","11.51","1.78M","0.70%"
"Sep 18, 2019","11.44","11.43","11.47","11.36","1.75M","0.00%"
"Sep 17, 2019","11.44","11.39","11.45","11.32","2.24M","-1.21%"
"Sep 16, 2019","11.58","11.58","11.62","11.54","2.43M","-1.28%"
"Sep 13, 2019","11.73","11.77","11.80","11.70","3.76M","1.73%"
"Sep 12, 2019","11.53","11.45","11.59","11.40","2.94M","-0.43%"
"Sep 11, 2019","11.58","11.52","11.58","11.44","2.38M","0.78%"
"Sep 10, 2019","11.49","11.57","11.61","11.40","5.00M","3.14%"
"Sep 09, 2019","11.14","11.05","11.16","11.03","4.38M","2.39%"
"Sep 06, 2019","10.88","10.85","10.90","10.81","1.36M","0.65%"
"Sep 05, 2019","10.81","10.76","10.85","10.75","3.48M","2.08%"
"Sep 04, 2019","10.59","10.54","10.59","10.47","3.37M","1.05%"
"Sep 03, 2019","10.48","10.54","10.54","10.41","2.92M","-1.13%"
"Aug 30, 2019","10.60","10.60","10.67","10.57","2.58M","0.19%"
"Aug 29, 2019","10.58","10.57","10.61","10.53","1.96M","0.67%"
"Aug 28, 2019","10.51","10.38","10.55","10.38","2.49M","0.29%"
"Aug 27, 2019","10.48","10.61","10.62","10.46","1.70M","-1.04%"
"Aug 26, 2019","10.59","10.57","10.60","10.51","1.99M","1.05%"
"Aug 23, 2019","10.48","10.63","10.71","10.46","2.16M","-1.41%"
"Aug 22, 2019","10.63","10.63","10.68","10.56","1.66M","1.53%"
"Aug 21, 2019","10.47","10.55","10.56","10.47","2.18M","0.58%"
"Aug 20, 2019","10.41","10.47","10.48","10.40","2.41M","-0.67%"
"Aug 19, 2019","10.48","10.52","10.56","10.47","1.90M","0.77%"
"Aug 16, 2019","10.40","10.25","10.42","10.25","3.61M","2.36%"
"Aug 15, 2019","10.16","10.22","10.29","10.12","5.38M","0.00%"
"Aug 14, 2019","10.16","10.23","10.25","10.13","4.34M","-4.42%"
"Aug 13, 2019","10.63","10.52","10.68","10.48","5.79M","-0.09%"
"Aug 12, 2019","10.64","10.73","10.77","10.62","2.36M","-2.21%"
"Aug 09, 2019","10.88","10.90","10.94","10.81","2.52M","0.09%"
"Aug 08, 2019","10.87","10.81","10.92","10.78","2.33M","0.56%"
"Aug 07, 2019","10.81","10.68","10.82","10.63","3.85M","-1.64%"
"Aug 06, 2019","10.99","10.95","10.99","10.77","5.88M","0.92%"
"Aug 05, 2019","10.89","11.08","11.09","10.83","8.02M","-2.07%"
"Aug 02, 2019","11.12","11.04","11.15","10.95","6.82M","2.39%"
"Aug 01, 2019","10.86","11.15","11.24","10.84","5.96M","-2.78%"
"Jul 31, 2019","11.17","11.26","11.29","11.13","2.97M","-0.71%"
"Jul 30, 2019","11.25","11.22","11.29","11.19","3.88M","-0.97%"
"Jul 29, 2019","11.36","11.52","11.54","11.36","5.35M","-0.18%"
"Jul 26, 2019","11.38","11.46","11.47","11.37","3.56M","-0.70%"
"Jul 25, 2019","11.46","11.69","11.70","11.41","5.36M","-3.21%"
"Jul 24, 2019","11.84","11.75","11.86","11.71","5.59M","-3.66%"
"Jul 23, 2019","12.29","12.26","12.35","12.22","4.48M","1.49%"
"Jul 22, 2019","12.11","12.09","12.12","12.00","3.31M","1.17%"
"Jul 19, 2019","11.97","11.98","12.05","11.95","2.50M","-1.32%"
"Jul 18, 2019","12.13","12.05","12.13","12.04","1.82M","0.75%"
"Jul 17, 2019","12.04","12.17","12.19","12.04","3.35M","-0.58%"
"Jul 16, 2019","12.11","12.19","12.24","12.10","2.26M","-0.33%"
"Jul 15, 2019","12.15","12.11","12.20","12.07","3.08M","-0.57%"
"Jul 12, 2019","12.22","12.20","12.24","12.18","3.85M","0.49%"
"Jul 11, 2019","12.16","12.04","12.17","12.04","4.07M","1.16%"
"Jul 10, 2019","12.02","12.13","12.15","12.01","2.54M","1.18%"
"Jul 09, 2019","11.88","11.84","11.93","11.84","1.88M","-0.67%"
"Jul 08, 2019","11.96","12.02","12.08","11.95","2.35M","-1.48%"
"Jul 05, 2019","12.14","12.18","12.25","12.08","1.89M","1.25%"
"Jul 03, 2019","11.99","12.01","12.04","11.98","1.05M","0.50%"
"Jul 02, 2019","11.93","11.90","11.95","11.88","1.78M","0.25%"
"Jul 01, 2019","11.90","12.05","12.08","11.84","3.72M","0.42%"
"Jun 28, 2019","11.85","11.88","11.94","11.82","2.52M","0.08%"
"Jun 27, 2019","11.84","11.91","11.99","11.84","2.31M","1.37%"
"Jun 26, 2019","11.68","11.65","11.71","11.62","1.64M","0.86%"
"Jun 25, 2019","11.58","11.57","11.63","11.55","2.39M","-0.69%"
"Jun 24, 2019","11.66","11.68","11.71","11.64","2.58M","0.17%"
"Jun 21, 2019","11.64","11.70","11.74","11.64","1.86M","-1.02%"
"Jun 20, 2019","11.76","11.80","11.82","11.67","2.45M","0.00%"
"Jun 19, 2019","11.76","11.78","11.91","11.76","2.61M","0.77%"
"Jun 18, 2019","11.67","11.51","11.73","11.51","3.05M","1.66%"
"Jun 17, 2019","11.48","11.56","11.60","11.47","2.34M","-0.52%"
"Jun 14, 2019","11.54","11.55","11.57","11.49","2.64M","-1.28%"
"Jun 13, 2019","11.69","11.71","11.76","11.65","1.87M","-0.43%"
"Jun 12, 2019","11.74","11.79","11.83","11.71","1.71M","-1.51%"
