"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","2.310","2.320","2.320","2.300","142.35K","-0.86%"
"Oct 25, 2019","2.330","2.310","2.330","2.300","198.88K","0.00%"
"Oct 24, 2019","2.330","2.300","2.330","2.300","394.39K","3.56%"
"Oct 23, 2019","2.250","2.260","2.270","2.250","168.40K","0.90%"
"Oct 22, 2019","2.230","2.270","2.270","2.230","263.89K","-1.76%"
"Oct 21, 2019","2.270","2.240","2.290","2.240","535.48K","0.44%"
"Oct 18, 2019","2.260","2.220","2.260","2.213","418.96K","3.20%"
"Oct 17, 2019","2.190","2.220","2.220","2.190","304.92K","-0.45%"
"Oct 16, 2019","2.200","2.210","2.220","2.180","469.88K","0.00%"
"Oct 15, 2019","2.200","2.190","2.210","2.190","253.55K","1.85%"
"Oct 14, 2019","2.160","2.170","2.180","2.160","520.79K","-1.37%"
"Oct 11, 2019","2.190","2.160","2.200","2.150","572.83K","1.39%"
"Oct 10, 2019","2.160","2.120","2.160","2.115","419.79K","1.89%"
"Oct 09, 2019","2.120","2.090","2.120","2.085","791.50K","1.44%"
"Oct 08, 2019","2.090","2.120","2.120","2.080","775.00K","-1.42%"
"Oct 07, 2019","2.120","2.130","2.130","2.095","750.27K","-0.47%"
"Oct 04, 2019","2.130","2.130","2.140","2.110","529.02K","1.43%"
"Oct 03, 2019","2.100","2.100","2.120","2.080","423.79K","0.48%"
"Oct 02, 2019","2.090","2.090","2.095","2.080","802.03K","-1.88%"
"Oct 01, 2019","2.130","2.120","2.140","2.110","648.18K","1.91%"
"Sep 30, 2019","2.090","2.130","2.130","2.080","575.05K","0.00%"
"Sep 27, 2019","2.090","2.130","2.140","2.090","467.23K","-2.34%"
"Sep 26, 2019","2.140","2.160","2.160","2.130","596.10K","-1.38%"
"Sep 25, 2019","2.170","2.150","2.190","2.145","685.01K","3.33%"
"Sep 24, 2019","2.100","2.160","2.170","2.090","1.22M","-2.33%"
"Sep 23, 2019","2.150","2.140","2.165","2.130","546.61K","2.38%"
"Sep 20, 2019","2.100","2.190","2.200","2.100","2.26M","-4.11%"
"Sep 19, 2019","2.190","2.170","2.190","2.170","302.80K","0.92%"
"Sep 18, 2019","2.170","2.160","2.180","2.160","212.06K","0.00%"
"Sep 17, 2019","2.170","2.170","2.179","2.150","306.75K","-0.46%"
"Sep 16, 2019","2.180","2.220","2.220","2.180","253.40K","-1.80%"
"Sep 13, 2019","2.220","2.180","2.270","2.175","1.98M","1.83%"
"Sep 12, 2019","2.180","2.170","2.190","2.170","225.14K","0.00%"
"Sep 11, 2019","2.180","2.170","2.180","2.160","226.81K","0.93%"
"Sep 10, 2019","2.160","2.130","2.170","2.130","312.31K","0.47%"
"Sep 09, 2019","2.150","2.160","2.165","2.136","140.76K","0.47%"
"Sep 06, 2019","2.140","2.150","2.150","2.130","194.18K","-0.47%"
"Sep 05, 2019","2.150","2.160","2.180","2.140","365.33K","0.00%"
"Sep 04, 2019","2.150","2.110","2.150","2.090","675.28K","4.37%"
"Sep 03, 2019","2.060","2.060","2.080","2.050","317.56K","-2.37%"
"Aug 30, 2019","2.110","2.110","2.110","2.100","187.51K","0.96%"
"Aug 29, 2019","2.090","2.050","2.090","2.046","339.10K","2.45%"
"Aug 28, 2019","2.040","2.050","2.050","2.020","144.10K","0.00%"
"Aug 27, 2019","2.040","2.050","2.050","2.020","205.63K","0.00%"
"Aug 26, 2019","2.040","2.040","2.050","2.030","241.81K","0.49%"
"Aug 23, 2019","2.030","2.060","2.070","2.030","447.81K","-1.46%"
"Aug 22, 2019","2.060","2.080","2.080","2.040","110.33K","-2.37%"
"Aug 21, 2019","2.110","2.120","2.120","2.100","197.38K","0.00%"
"Aug 20, 2019","2.110","2.100","2.110","2.090","361.92K","0.96%"
"Aug 19, 2019","2.090","2.100","2.100","2.070","1.67M","0.97%"
"Aug 16, 2019","2.070","2.070","2.090","2.045","2.22M","3.50%"
"Aug 15, 2019","2.000","2.010","2.020","1.990","618.02K","-1.48%"
"Aug 14, 2019","2.030","2.030","2.050","2.021","379.22K","-0.49%"
"Aug 13, 2019","2.040","2.020","2.050","2.020","950.64K","0.49%"
"Aug 12, 2019","2.030","2.020","2.041","2.020","637.21K","-0.98%"
"Aug 09, 2019","2.050","2.080","2.080","2.040","639.07K","-1.44%"
"Aug 08, 2019","2.080","2.070","2.090","2.070","139.24K","2.46%"
"Aug 07, 2019","2.030","2.030","2.060","2.020","414.29K","0.50%"
"Aug 06, 2019","2.020","2.030","2.060","2.020","219.47K","0.50%"
"Aug 05, 2019","2.010","2.040","2.040","1.990","629.92K","-2.90%"
"Aug 02, 2019","2.070","2.080","2.100","2.040","591.86K","-0.96%"
"Aug 01, 2019","2.090","2.130","2.140","2.090","353.98K","-4.13%"
"Jul 31, 2019","2.180","2.170","2.180","2.140","809.97K","1.40%"
"Jul 30, 2019","2.150","2.150","2.160","2.140","395.17K","0.94%"
"Jul 29, 2019","2.130","2.090","2.130","2.090","421.43K","2.90%"
"Jul 26, 2019","2.070","2.100","2.100","2.040","691.85K","-2.82%"
"Jul 25, 2019","2.130","2.150","2.150","2.130","249.34K","-3.18%"
"Jul 24, 2019","2.200","2.190","2.220","2.160","677.66K","3.29%"
"Jul 23, 2019","2.130","2.140","2.150","2.110","452.57K","-0.47%"
"Jul 22, 2019","2.140","2.150","2.150","2.130","179.82K","-0.47%"
"Jul 19, 2019","2.150","2.190","2.190","2.140","389.17K","-1.38%"
"Jul 18, 2019","2.180","2.180","2.180","2.160","215.37K","0.93%"
"Jul 17, 2019","2.160","2.180","2.180","2.135","392.49K","-1.37%"
"Jul 16, 2019","2.190","2.220","2.220","2.170","550.72K","-2.67%"
"Jul 15, 2019","2.250","2.280","2.290","2.230","950.49K","-2.17%"
"Jul 12, 2019","2.300","2.320","2.320","2.270","720.50K","-1.29%"
"Jul 11, 2019","2.330","2.350","2.380","2.320","1.40M","0.43%"
"Jul 10, 2019","2.320","2.280","2.330","2.280","2.53M","5.94%"
"Jul 09, 2019","2.190","2.200","2.210","2.180","184.98K","0.92%"
"Jul 08, 2019","2.170","2.180","2.200","2.170","214.20K","-1.81%"
"Jul 05, 2019","2.210","2.200","2.220","2.190","324.17K","-0.45%"
"Jul 03, 2019","2.220","2.210","2.230","2.210","145.15K","-0.45%"
"Jul 02, 2019","2.230","2.270","2.270","2.230","356.40K","-1.76%"
"Jul 01, 2019","2.270","2.260","2.280","2.260","600.31K","2.71%"
"Jun 28, 2019","2.210","2.210","2.220","2.190","152.20K","-0.45%"
"Jun 27, 2019","2.220","2.190","2.220","2.190","291.40K","1.37%"
"Jun 26, 2019","2.190","2.150","2.190","2.150","437.50K","1.86%"
"Jun 25, 2019","2.150","2.140","2.190","2.130","974.17K","0.00%"
"Jun 24, 2019","2.150","2.130","2.150","2.130","1.17M","3.37%"
"Jun 21, 2019","2.080","2.130","2.160","2.080","3.05M","-2.35%"
"Jun 20, 2019","2.130","2.130","2.140","2.110","233.34K","0.00%"
"Jun 19, 2019","2.130","2.120","2.140","2.110","221.21K","1.91%"
"Jun 18, 2019","2.090","2.070","2.090","2.050","534.97K","-0.48%"
"Jun 17, 2019","2.100","2.120","2.120","2.090","192.43K","-0.94%"
"Jun 14, 2019","2.120","2.120","2.120","2.105","277.60K","-0.47%"
"Jun 13, 2019","2.130","2.120","2.130","2.110","401.22K","2.40%"
"Jun 12, 2019","2.080","2.120","2.130","2.080","264.41K","-0.48%"
"Jun 11, 2019","2.090","2.090","2.100","2.080","225.17K","1.46%"
"Jun 10, 2019","2.060","2.080","2.100","2.060","436.88K","0.49%"
"Jun 07, 2019","2.050","2.050","2.050","2.030","404.58K","0.49%"
"Jun 06, 2019","2.040","2.020","2.050","2.020","561.32K","3.03%"
"Jun 05, 2019","1.980","2.020","2.020","1.960","879.94K","-1.98%"
"Jun 04, 2019","2.020","2.030","2.030","2.005","884.22K","-0.98%"
"Jun 03, 2019","2.040","2.060","2.060","2.020","929.75K","3.55%"
"May 31, 2019","1.970","1.990","1.990","1.965","459.68K","-0.51%"
"May 30, 2019","1.980","1.970","1.990","1.960","228.69K","1.54%"
"May 29, 2019","1.950","1.930","1.960","1.920","308.26K","3.72%"
"May 28, 2019","1.880","1.960","1.960","1.870","1.34M","-6.93%"
"May 24, 2019","2.020","2.020","2.030","2.000","167.57K","1.00%"
"May 23, 2019","2.000","1.980","2.000","1.970","441.49K","0.50%"
"May 22, 2019","1.990","2.010","2.030","1.990","319.10K","-1.00%"
"May 21, 2019","2.010","2.030","2.030","1.990","1.11M","2.03%"
"May 20, 2019","1.970","2.000","2.000","1.960","655.03K","-2.96%"
"May 17, 2019","2.030","2.020","2.040","2.020","371.43K","-0.49%"
"May 16, 2019","2.040","2.080","2.080","2.040","182.65K","-0.49%"
"May 15, 2019","2.050","2.060","2.070","2.050","114.96K","-0.97%"
"May 14, 2019","2.070","2.070","2.090","2.050","397.44K","0.49%"
"May 13, 2019","2.060","2.060","2.080","2.020","386.99K","-2.83%"
"May 10, 2019","2.120","2.090","2.140","2.075","493.72K","0.95%"
"May 09, 2019","2.100","2.120","2.120","2.075","732.22K","-3.67%"
"May 08, 2019","2.180","2.140","2.180","2.140","357.46K","1.40%"
"May 07, 2019","2.150","2.160","2.170","2.150","426.26K","-0.92%"
"May 06, 2019","2.170","2.140","2.180","2.100","1.29M","-2.25%"
"May 03, 2019","2.220","2.210","2.230","2.210","359.64K","2.30%"
"May 02, 2019","2.170","2.160","2.180","2.160","282.22K","0.00%"
"May 01, 2019","2.170","2.180","2.180","2.160","187.52K","0.00%"
"Apr 30, 2019","2.170","2.180","2.190","2.150","303.34K","0.00%"
"Apr 29, 2019","2.170","2.180","2.180","2.160","382.26K","-0.46%"
"Apr 26, 2019","2.180","2.210","2.280","2.180","1.34M","2.35%"
"Apr 25, 2019","2.130","2.110","2.140","2.100","863.34K","6.50%"
"Apr 24, 2019","2.000","1.890","2.070","1.890","2.05M","3.63%"
"Apr 23, 2019","1.930","1.910","1.930","1.905","441.19K","1.58%"
"Apr 22, 2019","1.900","1.920","1.920","1.890","224.22K","-1.55%"
"Apr 18, 2019","1.930","1.940","1.950","1.910","303.94K","-1.53%"
"Apr 17, 2019","1.960","1.950","1.970","1.950","285.20K","1.03%"
"Apr 16, 2019","1.940","1.940","1.960","1.930","174.12K","0.52%"
"Apr 15, 2019","1.930","1.950","1.955","1.925","427.78K","-2.03%"
"Apr 12, 2019","1.970","1.950","1.980","1.950","194.79K","1.55%"
"Apr 11, 2019","1.940","1.950","1.960","1.935","710.15K","-2.02%"
"Apr 10, 2019","1.980","1.980","1.990","1.960","313.37K","-0.50%"
"Apr 09, 2019","1.990","1.940","2.010","1.940","1.37M","4.19%"
"Apr 08, 2019","1.910","1.900","1.910","1.890","325.04K","2.14%"
"Apr 05, 2019","1.870","1.870","1.870","1.860","139.72K","0.00%"
"Apr 04, 2019","1.870","1.870","1.880","1.860","348.88K","0.00%"
"Apr 03, 2019","1.870","1.860","1.870","1.860","254.40K","0.00%"
"Apr 02, 2019","1.870","1.870","1.890","1.850","270.02K","-0.53%"
"Apr 01, 2019","1.880","1.880","1.880","1.850","342.10K","0.00%"
"Mar 29, 2019","1.880","1.880","1.880","1.860","193.95K","0.00%"
"Mar 28, 2019","1.880","1.860","1.880","1.850","489.89K","1.08%"
"Mar 27, 2019","1.860","1.860","1.870","1.855","370.36K","-0.53%"
"Mar 26, 2019","1.870","1.870","1.890","1.860","282.77K","-0.53%"
"Mar 25, 2019","1.880","1.870","1.890","1.860","397.11K","0.00%"
"Mar 22, 2019","1.880","1.880","1.910","1.860","332.99K","-0.53%"
"Mar 21, 2019","1.890","1.850","1.890","1.845","473.57K","1.61%"
"Mar 20, 2019","1.860","1.840","1.880","1.820","602.44K","0.00%"
"Mar 19, 2019","1.860","1.860","1.870","1.850","229.47K","0.54%"
"Mar 18, 2019","1.850","1.850","1.870","1.840","701.63K","1.09%"
"Mar 15, 2019","1.830","1.870","1.880","1.825","2.71M","-0.54%"
"Mar 14, 2019","1.840","1.850","1.860","1.830","1.10M","-1.08%"
"Mar 13, 2019","1.860","1.870","1.880","1.860","600.65K","-1.59%"
"Mar 12, 2019","1.890","1.880","1.890","1.870","363.22K","1.07%"
"Mar 11, 2019","1.870","1.860","1.880","1.850","632.82K","-0.53%"
"Mar 08, 2019","1.880","1.880","1.880","1.870","432.54K","-2.08%"
"Mar 07, 2019","1.920","1.900","1.920","1.880","825.86K","1.59%"
"Mar 06, 2019","1.890","1.890","1.905","1.870","515.19K","-0.53%"
"Mar 05, 2019","1.900","1.870","1.900","1.870","263.12K","2.15%"
"Mar 04, 2019","1.860","1.860","1.870","1.841","517.14K","0.00%"
"Mar 01, 2019","1.860","1.850","1.870","1.840","379.58K","0.54%"
"Feb 28, 2019","1.850","1.860","1.870","1.840","518.75K","-0.54%"
"Feb 27, 2019","1.860","1.860","1.860","1.840","321.83K","-1.59%"
"Feb 26, 2019","1.890","1.880","1.890","1.870","203.50K","0.00%"
"Feb 25, 2019","1.890","1.880","1.915","1.870","1.28M","1.07%"
