"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2019","28.50","29.00","29.28","28.50","184.10K","-3.55%"
"Nov 13, 2019","29.55","29.99","30.36","29.55","103.40K","-1.76%"
"Nov 12, 2019","30.08","29.73","30.36","29.48","123.10K","0.53%"
"Nov 11, 2019","29.92","29.73","30.06","29.48","163.90K","1.32%"
"Nov 08, 2019","29.53","30.09","30.70","29.45","139.10K","-3.15%"
"Nov 07, 2019","30.49","29.92","30.70","29.81","123.30K","1.63%"
"Nov 06, 2019","30.00","29.92","30.44","29.92","103.70K","0.30%"
"Nov 05, 2019","29.91","30.48","30.48","29.80","115.80K","-1.87%"
"Nov 04, 2019","30.48","29.74","30.48","29.58","106.20K","2.49%"
"Nov 01, 2019","29.74","29.13","29.74","29.10","137.70K","2.52%"
"Oct 31, 2019","29.01","29.70","29.82","29.00","179.80K","-2.32%"
"Oct 30, 2019","29.70","29.85","30.09","28.99","111.50K","-0.34%"
"Oct 29, 2019","29.80","29.70","30.20","29.66","79.80K","0.34%"
"Oct 28, 2019","29.70","29.98","30.32","29.63","104.70K","-1.46%"
"Oct 25, 2019","30.14","29.79","30.14","29.63","62.50K","1.79%"
"Oct 24, 2019","29.61","30.00","30.19","29.61","105.80K","-0.94%"
"Oct 23, 2019","29.89","30.22","30.47","29.83","110.50K","-1.35%"
"Oct 22, 2019","30.30","29.97","30.36","29.81","91.80K","1.30%"
"Oct 21, 2019","29.91","29.62","29.99","29.50","59.00K","1.12%"
"Oct 18, 2019","29.58","29.96","31.00","29.51","182.30K","-1.10%"
"Oct 17, 2019","29.91","30.36","30.59","29.82","118.00K","-1.51%"
"Oct 16, 2019","30.37","29.82","30.50","29.37","67.20K","2.19%"
"Oct 15, 2019","29.72","30.02","30.24","29.62","79.50K","-0.67%"
"Oct 14, 2019","29.92","30.85","31.14","29.77","156.20K","-3.01%"
"Oct 11, 2019","30.85","29.51","31.17","29.51","169.40K","5.83%"
"Oct 10, 2019","29.15","29.71","30.41","29.15","80.80K","0.00%"
"Oct 09, 2019","29.15","30.00","30.37","29.15","79.80K","-2.51%"
"Oct 08, 2019","29.90","28.98","29.97","28.98","56.10K","3.17%"
"Oct 07, 2019","28.98","30.15","30.58","28.98","130.60K","-3.62%"
"Oct 04, 2019","30.07","30.45","30.75","29.97","142.90K","-1.38%"
"Oct 03, 2019","30.49","30.76","30.84","29.66","126.90K","-0.03%"
"Oct 02, 2019","30.50","32.01","32.18","30.50","199.80K","-5.28%"
"Oct 01, 2019","32.20","31.84","32.20","31.06","160.90K","1.35%"
"Sep 30, 2019","31.77","31.39","31.86","30.70","96.30K","1.15%"
"Sep 27, 2019","31.41","31.88","32.00","31.41","95.80K","-0.98%"
"Sep 26, 2019","31.72","31.62","32.02","31.61","71.40K","0.32%"
"Sep 25, 2019","31.62","31.81","32.05","31.37","83.00K","-0.25%"
"Sep 24, 2019","31.70","31.07","31.81","30.79","140.60K","2.09%"
"Sep 23, 2019","31.05","30.70","31.05","30.54","80.20K","1.50%"
"Sep 20, 2019","30.59","30.90","31.10","30.52","115.10K","-0.91%"
"Sep 19, 2019","30.87","31.39","31.39","30.87","85.40K","-1.69%"
"Sep 18, 2019","31.40","31.12","31.40","31.00","76.30K","0.48%"
"Sep 17, 2019","31.25","31.35","31.45","31.05","78.60K","-0.64%"
"Sep 16, 2019","31.45","31.50","31.50","31.00","66.20K","0.19%"
"Sep 13, 2019","31.39","31.86","31.94","31.07","91.10K","-1.51%"
"Sep 12, 2019","31.87","31.89","32.24","31.71","113.70K","0.19%"
"Sep 11, 2019","31.81","31.51","31.81","31.30","118.90K","1.79%"
"Sep 10, 2019","31.25","31.30","31.70","31.06","123.50K","-0.76%"
"Sep 09, 2019","31.49","31.29","31.60","30.86","166.50K","0.64%"
"Sep 06, 2019","31.29","31.18","31.40","30.91","67.90K","1.23%"
"Sep 05, 2019","30.91","31.41","31.86","30.69","204.90K","-0.64%"
"Sep 04, 2019","31.11","29.80","31.11","29.80","242.40K","5.21%"
"Sep 03, 2019","29.57","29.75","29.99","29.53","201.00K","0.24%"
"Sep 02, 2019","29.50","30.44","30.50","29.50","211.70K","-3.53%"
"Aug 30, 2019","30.58","29.95","30.73","29.88","255.40K","2.45%"
"Aug 29, 2019","29.85","28.98","29.92","28.96","203.70K","4.30%"
"Aug 28, 2019","28.62","28.09","29.10","27.81","188.00K","1.45%"
"Aug 27, 2019","28.21","27.31","28.22","27.28","205.10K","3.68%"
"Aug 26, 2019","27.21","27.62","27.62","27.03","257.60K","-1.77%"
"Aug 23, 2019","27.70","27.42","27.70","26.71","370.80K","1.13%"
"Aug 22, 2019","27.39","27.92","27.92","27.10","260.30K","-1.30%"
"Aug 21, 2019","27.75","28.33","28.33","27.64","284.30K","-1.21%"
"Aug 20, 2019","28.09","28.00","28.40","27.32","282.50K","0.57%"
"Aug 19, 2019","27.93","27.96","28.58","27.81","326.10K","1.67%"
"Aug 16, 2019","27.47","27.51","28.29","26.51","457.30K","0.62%"
"Aug 15, 2019","27.30","30.00","30.10","26.81","858.30K","-8.85%"
"Aug 14, 2019","29.95","30.00","30.29","29.46","994.50K","-6.14%"
"Aug 13, 2019","31.91","31.47","32.25","31.14","255.30K","1.30%"
"Aug 12, 2019","31.50","31.75","31.87","30.53","339.30K","-0.79%"
"Aug 09, 2019","31.75","31.49","32.38","31.45","251.30K","0.79%"
"Aug 08, 2019","31.50","31.11","31.65","31.07","230.30K","1.61%"
"Aug 07, 2019","31.00","31.57","31.75","30.81","246.70K","-1.93%"
"Aug 06, 2019","31.61","31.50","31.97","31.42","95.60K","0.35%"
"Aug 05, 2019","31.50","32.48","32.48","31.48","356.60K","-3.37%"
"Aug 02, 2019","32.60","32.94","32.94","32.16","102.20K","-1.21%"
"Aug 01, 2019","33.00","33.71","33.79","32.92","172.50K","-2.11%"
"Jul 31, 2019","33.71","33.74","33.74","33.26","81.60K","-0.12%"
"Jul 30, 2019","33.75","33.34","33.88","33.10","57.30K","1.17%"
"Jul 29, 2019","33.36","33.99","33.99","33.00","114.80K","-1.48%"
"Jul 26, 2019","33.86","34.59","34.59","33.86","82.10K","-0.70%"
"Jul 25, 2019","34.10","34.46","34.63","34.09","149.20K","-1.73%"
"Jul 24, 2019","34.70","34.29","34.70","34.00","53.60K","1.17%"
"Jul 23, 2019","34.30","34.49","34.64","33.95","128.90K","-1.12%"
"Jul 22, 2019","34.69","34.64","34.76","34.43","71.00K","0.14%"
"Jul 19, 2019","34.64","34.75","34.83","33.85","115.60K","-0.14%"
"Jul 18, 2019","34.69","34.42","35.10","34.30","201.60K","0.70%"
"Jul 17, 2019","34.45","34.53","34.70","34.30","102.90K","-0.12%"
"Jul 16, 2019","34.49","35.25","35.39","34.30","364.80K","-1.74%"
"Jul 15, 2019","35.10","35.46","35.47","35.01","108.50K","-0.54%"
"Jul 12, 2019","35.29","35.64","35.65","35.10","124.40K","-0.98%"
"Jul 11, 2019","35.64","35.81","36.08","34.83","382.30K","-0.17%"
"Jul 10, 2019","35.70","36.00","36.60","35.56","256.50K","-0.83%"
"Jul 08, 2019","36.00","35.10","36.09","35.10","126.90K","2.56%"
"Jul 05, 2019","35.10","35.10","35.28","34.83","131.90K","-0.03%"
"Jul 04, 2019","35.11","35.00","35.33","34.58","110.40K","0.83%"
"Jul 03, 2019","34.82","35.21","35.66","34.28","187.20K","-0.80%"
"Jul 02, 2019","35.10","35.60","35.60","35.00","205.00K","-1.10%"
"Jul 01, 2019","35.49","35.68","35.98","35.43","124.60K","-0.45%"
"Jun 28, 2019","35.65","36.18","36.32","35.45","183.10K","-0.47%"
"Jun 27, 2019","35.82","36.20","36.62","35.82","109.80K","-1.10%"
"Jun 26, 2019","36.22","35.97","36.78","35.91","183.40K","0.67%"
"Jun 25, 2019","35.98","35.49","36.19","35.49","237.90K","1.30%"
"Jun 24, 2019","35.52","35.00","35.98","34.97","320.70K","1.83%"
"Jun 21, 2019","34.88","36.15","36.15","34.79","370.70K","-4.04%"
"Jun 19, 2019","36.35","36.10","36.90","35.69","156.70K","1.08%"
"Jun 18, 2019","35.96","34.94","36.00","34.94","190.98K","3.21%"
"Jun 17, 2019","34.84","34.74","35.56","34.46","219.22K","0.61%"
"Jun 14, 2019","34.63","34.37","34.63","33.87","101.62K","0.61%"
"Jun 13, 2019","34.42","34.67","34.84","34.41","167.88K","-0.95%"
"Jun 12, 2019","34.75","33.71","34.86","33.67","349.42K","2.60%"
"Jun 11, 2019","33.87","33.15","33.87","33.15","126.35K","2.45%"
"Jun 10, 2019","33.06","33.35","34.54","33.06","291.67K","-1.61%"
"Jun 07, 2019","33.60","33.05","34.15","33.00","262.85K","2.35%"
"Jun 06, 2019","32.83","32.53","33.21","32.31","276.03K","0.80%"
"Jun 05, 2019","32.57","31.83","32.57","31.80","202.88K","1.69%"
"Jun 04, 2019","32.03","31.99","32.09","31.72","152.13K","0.25%"
"Jun 03, 2019","31.95","31.64","31.97","31.60","236.48K","1.30%"
"May 31, 2019","31.54","30.64","31.54","30.38","251.30K","2.87%"
"May 30, 2019","30.66","30.63","30.71","30.33","307.88K","-0.45%"
"May 29, 2019","30.80","31.87","32.10","30.77","535.50K","-3.27%"
"May 28, 2019","31.84","32.06","33.09","31.80","1.32M","-0.66%"
"May 27, 2019","32.05","31.85","32.38","31.83","89.13K","0.79%"
"May 24, 2019","31.80","31.35","31.80","31.00","129.03K","2.61%"
"May 23, 2019","30.99","31.23","31.75","30.91","202.77K","-1.21%"
"May 22, 2019","31.37","32.43","32.83","31.37","245.93K","-3.27%"
"May 21, 2019","32.43","31.37","32.55","31.37","206.73K","3.68%"
"May 20, 2019","31.28","30.86","31.33","30.72","148.05K","1.53%"
"May 17, 2019","30.81","30.34","31.15","30.08","162.75K","2.02%"
"May 16, 2019","30.20","30.09","30.68","29.79","222.02K","0.37%"
"May 15, 2019","30.09","29.66","30.33","29.59","295.87K","0.30%"
"May 14, 2019","30.00","29.14","30.46","28.70","693.35K","-4.76%"
"May 13, 2019","31.50","32.22","32.22","31.50","142.22K","-2.78%"
"May 10, 2019","32.40","32.61","32.80","32.06","163.45K","-0.64%"
"May 09, 2019","32.61","32.28","32.86","31.65","227.15K","0.65%"
"May 08, 2019","32.40","32.05","32.74","32.05","114.80K","1.60%"
"May 07, 2019","31.89","32.55","32.85","31.89","84.12K","-1.85%"
"May 06, 2019","32.49","32.56","32.98","32.37","64.52K","-0.76%"
"May 03, 2019","32.74","32.87","33.29","32.64","108.38K","-0.91%"
"May 02, 2019","33.04","33.17","33.17","32.42","124.72K","-0.63%"
"Apr 30, 2019","33.25","32.57","33.25","32.15","143.62K","2.53%"
"Apr 29, 2019","32.43","32.74","33.11","32.23","121.33K","-0.52%"
"Apr 26, 2019","32.60","33.22","33.70","32.60","152.25K","-1.84%"
"Apr 25, 2019","33.21","33.33","33.35","32.83","61.13K","-0.12%"
"Apr 24, 2019","33.25","33.68","33.68","33.02","79.80K","-1.28%"
"Apr 23, 2019","33.68","33.17","33.68","32.91","95.78K","1.84%"
"Apr 22, 2019","33.07","33.60","33.91","33.00","68.48K","-1.55%"
