"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","58.010","58.260","58.460","58.000","747.80K","-1.07%"
"Oct 25, 2019","58.640","58.820","59.060","58.590","1.48M","-0.66%"
"Oct 24, 2019","59.030","59.090","59.160","58.820","2.30M","-0.02%"
"Oct 23, 2019","59.040","59.240","59.425","58.950","1.75M","-0.92%"
"Oct 22, 2019","59.590","59.520","60.010","59.430","1.31M","0.15%"
"Oct 21, 2019","59.500","59.440","59.975","59.350","1.23M","-1.65%"
"Oct 18, 2019","60.500","60.180","60.590","60.086","2.16M","0.07%"
"Oct 17, 2019","60.460","60.630","60.630","60.340","3.92M","1.24%"
"Oct 16, 2019","59.720","59.500","59.785","59.300","1.42M","2.16%"
"Oct 15, 2019","58.460","58.390","58.750","58.345","924.56K","-0.70%"
"Oct 14, 2019","58.870","59.020","59.180","58.740","695.40K","-0.62%"
"Oct 11, 2019","59.240","59.240","59.500","59.040","978.97K","-0.64%"
"Oct 10, 2019","59.620","59.090","59.750","59.010","807.07K","-0.23%"
"Oct 09, 2019","59.760","59.560","59.800","59.435","1.03M","0.83%"
"Oct 08, 2019","59.270","59.830","59.930","59.240","1.25M","-1.33%"
"Oct 07, 2019","60.070","59.990","60.380","59.930","914.31K","0.32%"
"Oct 04, 2019","59.880","59.350","59.905","59.290","898.23K","0.74%"
"Oct 03, 2019","59.440","59.310","59.675","59.250","1.34M","0.22%"
"Oct 02, 2019","59.310","60.210","60.330","59.170","2.08M","-2.14%"
"Oct 01, 2019","60.610","60.130","60.700","59.860","1.04M","0.97%"
"Sep 30, 2019","60.030","59.750","60.360","59.750","846.37K","0.02%"
"Sep 27, 2019","60.020","60.320","60.340","59.830","1.02M","-0.50%"
"Sep 26, 2019","60.320","59.990","60.385","59.930","1.11M","1.38%"
"Sep 25, 2019","59.500","59.690","59.770","59.280","977.49K","-1.01%"
"Sep 24, 2019","60.110","59.890","60.325","59.850","724.30K","0.69%"
"Sep 23, 2019","59.700","59.870","60.010","59.620","928.74K","0.56%"
"Sep 20, 2019","59.370","59.540","59.930","59.230","1.35M","-1.61%"
"Sep 19, 2019","60.340","60.390","60.540","60.210","671.85K","0.02%"
"Sep 18, 2019","60.330","60.350","60.510","60.100","739.27K","-0.18%"
"Sep 17, 2019","60.440","60.040","60.565","60.010","1.17M","1.44%"
"Sep 16, 2019","59.580","59.770","59.780","59.360","591.76K","-1.08%"
"Sep 13, 2019","60.230","60.050","60.400","60.030","707.76K","-0.86%"
"Sep 12, 2019","60.750","60.210","60.880","60.200","933.93K","0.41%"
"Sep 11, 2019","60.500","59.840","60.520","59.801","1.10M","0.20%"
"Sep 10, 2019","60.380","60.320","60.600","60.160","1.23M","-1.87%"
"Sep 09, 2019","61.530","61.980","62.030","61.380","987.84K","-1.85%"
"Sep 06, 2019","62.690","62.730","62.960","62.590","657.34K","0.00%"
"Sep 05, 2019","62.690","63.220","63.290","62.665","942.87K","-1.45%"
"Sep 04, 2019","63.610","63.060","63.620","63.030","781.64K","1.05%"
"Sep 03, 2019","62.950","62.460","62.970","62.370","1.21M","1.39%"
"Aug 30, 2019","62.090","62.300","62.330","61.740","1.50M","0.42%"
"Aug 29, 2019","61.830","62.080","62.080","61.380","1.18M","0.73%"
"Aug 28, 2019","61.380","61.250","61.535","61.040","1.23M","0.39%"
"Aug 27, 2019","61.140","60.590","61.270","60.550","1.21M","1.04%"
"Aug 26, 2019","60.510","60.210","60.610","60.150","1.30M","0.78%"
"Aug 23, 2019","60.040","60.390","60.900","59.880","1.37M","-0.84%"
"Aug 22, 2019","60.550","60.340","60.630","60.145","1.81M","-0.44%"
"Aug 21, 2019","60.820","60.610","60.975","60.560","1.88M","0.78%"
"Aug 20, 2019","60.350","60.630","60.650","60.170","1.28M","-0.28%"
"Aug 19, 2019","60.520","59.960","60.655","59.910","1.83M","1.61%"
"Aug 16, 2019","59.560","58.900","59.640","58.660","2.28M","2.18%"
"Aug 15, 2019","58.290","58.420","58.670","58.050","1.65M","0.81%"
"Aug 14, 2019","57.820","57.670","58.450","57.560","2.65M","0.12%"
"Aug 13, 2019","57.750","57.250","57.780","57.230","1.55M","0.50%"
"Aug 12, 2019","57.460","57.330","57.640","57.310","971.56K","0.82%"
"Aug 09, 2019","56.990","57.010","57.140","56.620","1.10M","0.12%"
"Aug 08, 2019","56.920","56.400","57.030","56.340","1.11M","-0.51%"
"Aug 07, 2019","57.210","56.350","57.330","56.280","1.33M","0.92%"
"Aug 06, 2019","56.690","56.760","56.980","56.470","980.44K","0.28%"
"Aug 05, 2019","56.530","57.460","57.545","56.335","981.82K","-1.93%"
"Aug 02, 2019","57.640","58.350","58.370","57.400","1.19M","-0.96%"
"Aug 01, 2019","58.200","57.890","58.520","57.860","1.70M","0.80%"
"Jul 31, 2019","57.740","58.020","58.600","57.330","1.40M","-1.70%"
"Jul 30, 2019","58.740","59.110","59.150","58.670","1.06M","-0.68%"
"Jul 29, 2019","59.140","59.270","59.423","58.990","726.24K","0.80%"
"Jul 26, 2019","58.670","58.370","58.705","58.300","1.12M","0.03%"
"Jul 25, 2019","58.650","58.990","59.090","58.360","1.40M","-2.07%"
"Jul 24, 2019","59.890","60.290","60.465","59.870","965.59K","-0.93%"
"Jul 23, 2019","60.450","60.940","60.940","60.440","994.93K","-0.21%"
"Jul 22, 2019","60.580","60.520","60.585","60.290","702.03K","0.70%"
"Jul 19, 2019","60.160","60.720","60.820","60.110","1.10M","-1.51%"
"Jul 18, 2019","61.080","60.840","61.115","60.690","792.71K","0.59%"
"Jul 17, 2019","60.720","61.210","61.310","60.685","893.97K","-0.41%"
"Jul 16, 2019","60.970","61.200","61.280","60.910","824.32K","0.44%"
"Jul 15, 2019","60.700","60.840","61.050","60.600","497.50K","0.26%"
"Jul 12, 2019","60.540","60.540","60.670","60.410","600.55K","-0.18%"
"Jul 11, 2019","60.650","60.860","60.915","60.460","545.94K","-0.02%"
"Jul 10, 2019","60.660","60.650","60.990","60.639","845.14K","-0.44%"
"Jul 09, 2019","60.930","60.730","61.050","60.715","697.95K","-1.23%"
"Jul 08, 2019","61.690","61.710","61.770","61.450","468.79K","0.11%"
"Jul 05, 2019","61.620","61.530","61.720","60.960","675.63K","-0.77%"
"Jul 03, 2019","62.100","62.250","62.405","62.070","560.37K","1.12%"
