"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","4.51","4.50","4.67","4.43","19.13M","-0.88%"
"May 14, 2020","4.55","4.30","4.55","4.13","26.86M","4.60%"
"May 13, 2020","4.35","4.64","4.68","4.32","21.70M","-5.23%"
"May 12, 2020","4.59","4.80","4.86","4.53","19.60M","-3.57%"
"May 11, 2020","4.76","4.76","4.88","4.67","14.01M","-1.04%"
"May 08, 2020","4.81","4.84","4.90","4.70","17.09M","1.48%"
"May 07, 2020","4.74","4.66","4.88","4.54","32.60M","3.27%"
"May 06, 2020","4.59","4.65","4.67","4.51","12.64M","-0.43%"
"May 05, 2020","4.61","4.76","4.88","4.61","15.34M","-1.50%"
"May 04, 2020","4.68","4.66","4.70","4.57","12.89M","-2.50%"
"Apr 30, 2020","4.80","4.91","5.01","4.77","23.78M","-5.14%"
"Apr 29, 2020","5.06","4.80","5.12","4.72","30.08M","8.43%"
"Apr 28, 2020","4.67","4.43","4.69","4.38","24.64M","8.53%"
"Apr 27, 2020","4.30","4.44","4.47","4.22","18.81M","0.00%"
"Apr 24, 2020","4.30","4.62","4.68","4.16","28.70M","-8.82%"
"Apr 23, 2020","4.72","4.82","4.99","4.60","30.21M","-1.24%"
"Apr 22, 2020","4.78","4.63","4.85","4.63","19.94M","3.21%"
"Apr 20, 2020","4.63","4.52","4.70","4.48","17.25M","0.86%"
"Apr 17, 2020","4.59","4.65","4.74","4.52","17.29M","1.76%"
"Apr 16, 2020","4.51","4.73","4.78","4.46","19.45M","-3.19%"
"Apr 15, 2020","4.66","4.51","4.71","4.39","17.23M","-1.47%"
"Apr 14, 2020","4.73","4.62","4.78","4.58","17.98M","5.76%"
"Apr 13, 2020","4.47","4.25","4.51","4.17","18.59M","4.16%"
"Apr 09, 2020","4.29","4.42","4.60","4.22","19.47M","-1.37%"
"Apr 08, 2020","4.35","4.05","4.40","4.05","22.75M","6.81%"
"Apr 07, 2020","4.07","4.28","4.31","4.05","25.13M","0.98%"
"Apr 06, 2020","4.03","4.29","4.30","3.97","19.66M","-0.25%"
"Apr 03, 2020","4.04","4.47","4.49","3.99","32.24M","-11.88%"
"Apr 02, 2020","4.59","4.81","4.90","4.56","20.07M","-1.28%"
"Apr 01, 2020","4.65","4.66","4.72","4.54","12.59M","-4.67%"
"Mar 31, 2020","4.87","4.79","5.12","4.76","20.49M","2.93%"
"Mar 30, 2020","4.74","4.96","5.07","4.68","13.43M","-3.15%"
"Mar 27, 2020","4.89","4.95","5.13","4.82","15.87M","-4.86%"
"Mar 26, 2020","5.14","4.76","5.50","4.75","25.80M","5.33%"
"Mar 25, 2020","4.88","4.17","4.96","4.16","28.06M","21.39%"
"Mar 24, 2020","4.02","4.17","4.20","3.97","20.19M","5.79%"
"Mar 23, 2020","3.80","4.36","4.37","3.78","24.64M","-12.04%"
"Mar 20, 2020","4.32","4.80","5.08","4.30","27.08M","-4.00%"
"Mar 19, 2020","4.50","4.39","4.91","4.14","21.61M","-2.17%"
"Mar 18, 2020","4.60","5.38","5.42","4.36","19.79M","-21.23%"
"Mar 17, 2020","5.84","6.06","6.18","5.63","26.14M","-0.68%"
"Mar 16, 2020","5.88","5.52","6.27","5.52","16.21M","-9.82%"
"Mar 13, 2020","6.52","6.50","6.55","5.62","29.51M","16.43%"
"Mar 12, 2020","5.60","5.50","5.78","4.72","19.67M","-13.85%"
"Mar 11, 2020","6.50","6.87","7.00","6.08","15.14M","-8.71%"
"Mar 10, 2020","7.12","7.26","7.48","6.68","18.49M","7.88%"
"Mar 09, 2020","6.60","6.90","7.04","6.36","20.46M","-16.14%"
"Mar 06, 2020","7.87","7.92","8.20","7.68","16.27M","-6.31%"
"Mar 05, 2020","8.40","8.72","8.73","8.21","13.04M","-5.30%"
"Mar 04, 2020","8.87","8.51","8.95","8.45","14.06M","7.00%"
"Mar 03, 2020","8.29","8.47","8.78","8.29","19.03M","-2.13%"
"Mar 02, 2020","8.47","8.39","8.58","8.18","18.33M","3.67%"
"Feb 28, 2020","8.17","8.13","8.22","7.82","17.29M","-0.24%"
"Feb 27, 2020","8.19","8.05","8.52","7.89","22.19M","-0.36%"
"Feb 26, 2020","8.22","8.60","8.72","8.20","17.84M","-10.36%"
"Feb 21, 2020","9.17","9.34","9.50","9.16","16.32M","-3.07%"
"Feb 20, 2020","9.46","9.75","9.80","9.38","13.19M","-2.67%"
"Feb 19, 2020","9.72","9.76","9.88","9.60","16.23M","-0.51%"
"Feb 18, 2020","9.77","9.65","9.78","9.50","12.32M","0.41%"
"Feb 17, 2020","9.73","10.00","10.09","9.65","16.65M","-1.72%"
"Feb 14, 2020","9.90","10.11","10.17","9.83","26.55M","-4.35%"
"Feb 13, 2020","10.35","9.67","10.40","9.58","23.00M","4.97%"
"Feb 12, 2020","9.86","10.06","10.16","9.84","18.99M","-0.60%"
"Feb 11, 2020","9.92","9.52","9.95","9.46","15.71M","6.78%"
"Feb 10, 2020","9.29","9.61","9.73","9.21","18.45M","-3.43%"
"Feb 07, 2020","9.62","9.90","9.98","9.62","14.26M","-4.18%"
"Feb 06, 2020","10.04","10.46","10.47","9.95","19.58M","-2.24%"
"Feb 05, 2020","10.27","9.90","10.47","9.89","30.65M","4.90%"
"Feb 04, 2020","9.79","9.95","9.99","9.77","15.20M","0.93%"
"Feb 03, 2020","9.70","9.65","9.89","9.46","13.48M","0.73%"
"Jan 31, 2020","9.63","9.57","9.71","9.41","23.22M","-1.43%"
"Jan 30, 2020","9.77","9.69","9.82","9.33","25.29M","-1.11%"
"Jan 29, 2020","9.88","10.15","10.25","9.83","13.67M","-1.59%"
"Jan 28, 2020","10.04","10.25","10.43","9.89","28.73M","-0.10%"
"Jan 27, 2020","10.05","10.29","10.45","10.01","32.71M","-7.12%"
"Jan 24, 2020","10.82","11.40","11.43","10.68","36.86M","-2.61%"
"Jan 23, 2020","11.11","10.75","11.53","10.55","52.79M","2.11%"
"Jan 22, 2020","10.88","9.90","10.88","9.90","64.89M","13.93%"
"Jan 21, 2020","9.55","9.64","9.71","9.47","8.10M","-2.05%"
"Jan 20, 2020","9.75","9.75","9.75","9.60","10.09M","-0.10%"
"Jan 17, 2020","9.76","9.79","9.85","9.62","18.48M","0.93%"
"Jan 16, 2020","9.67","9.48","9.89","9.43","28.30M","2.98%"
"Jan 15, 2020","9.39","9.54","9.62","9.29","17.44M","-1.98%"
"Jan 14, 2020","9.58","9.57","9.65","9.49","11.80M","0.42%"
"Jan 13, 2020","9.54","9.25","9.54","9.22","17.01M","4.38%"
"Jan 10, 2020","9.14","9.37","9.43","9.09","12.89M","-2.04%"
"Jan 09, 2020","9.33","9.39","9.53","9.24","9.43M","-0.64%"
"Jan 08, 2020","9.39","9.51","9.57","9.32","13.78M","-1.26%"
"Jan 07, 2020","9.51","9.48","9.51","9.41","9.68M","0.96%"
"Jan 06, 2020","9.42","9.54","9.60","9.40","17.31M","-1.88%"
"Jan 03, 2020","9.60","9.51","9.70","9.50","11.56M","-1.03%"
"Jan 02, 2020","9.70","9.60","9.70","9.52","16.09M","2.00%"
"Dec 30, 2019","9.51","9.47","9.55","9.39","9.23M","0.85%"
"Dec 27, 2019","9.43","9.57","9.62","9.37","9.19M","-1.05%"
"Dec 26, 2019","9.53","9.53","9.65","9.47","9.50M","0.00%"
"Dec 23, 2019","9.53","9.39","9.63","9.28","17.35M","2.14%"
"Dec 20, 2019","9.33","9.31","9.40","9.20","9.01M","0.11%"
"Dec 19, 2019","9.32","9.22","9.43","9.19","12.62M","0.76%"
"Dec 18, 2019","9.25","9.25","9.27","9.13","13.88M","0.00%"
"Dec 17, 2019","9.25","9.08","9.25","9.04","12.05M","1.43%"
"Dec 16, 2019","9.12","9.30","9.31","9.09","14.14M","-1.41%"
"Dec 13, 2019","9.25","9.31","9.37","9.08","14.78M","-0.43%"
"Dec 12, 2019","9.29","8.95","9.34","8.95","25.28M","4.03%"
"Dec 11, 2019","8.93","8.83","8.98","8.77","11.71M","1.48%"
"Dec 10, 2019","8.80","8.70","8.80","8.53","13.40M","1.15%"
"Dec 09, 2019","8.70","9.11","9.20","8.64","20.38M","-3.33%"
"Dec 06, 2019","9.00","8.82","9.04","8.75","12.82M","2.27%"
"Dec 05, 2019","8.80","8.77","8.86","8.69","12.35M","-0.11%"
"Dec 04, 2019","8.81","8.65","8.87","8.64","11.75M","2.44%"
"Dec 03, 2019","8.60","8.66","8.67","8.46","7.57M","-0.92%"
"Dec 02, 2019","8.68","8.40","8.71","8.32","17.48M","2.00%"
"Nov 29, 2019","8.51","8.44","8.83","8.37","20.60M","0.95%"
"Nov 28, 2019","8.43","8.33","8.52","8.33","7.49M","0.36%"
"Nov 27, 2019","8.40","8.46","8.55","8.27","9.69M","-0.94%"
"Nov 26, 2019","8.48","8.31","8.50","8.27","13.21M","1.07%"
