"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","48.05","48.69","49.30","48.05","34.99M","-0.08%"
"May 14, 2020","48.09","47.95","48.46","46.94","35.39M","-0.93%"
"May 13, 2020","48.54","48.17","49.18","47.66","34.01M","2.28%"
"May 12, 2020","47.46","48.43","48.60","47.46","21.62M","-0.57%"
"May 11, 2020","47.73","48.21","49.25","47.73","24.62M","-2.29%"
"May 08, 2020","48.85","47.50","48.96","46.97","33.80M","6.08%"
"May 07, 2020","46.05","45.63","46.98","45.45","42.05M","3.88%"
"May 06, 2020","44.33","44.19","44.76","43.61","26.49M","1.44%"
"May 05, 2020","43.70","44.45","45.03","43.70","18.96M","-0.52%"
"May 04, 2020","43.93","43.70","44.33","43.40","16.87M","-2.07%"
"Apr 30, 2020","44.86","45.71","46.17","44.76","25.39M","-4.00%"
"Apr 29, 2020","46.73","45.35","47.38","44.84","32.98M","4.75%"
"Apr 28, 2020","44.61","45.20","45.29","43.48","25.47M","0.13%"
"Apr 27, 2020","44.55","44.46","45.05","43.86","25.42M","1.81%"
"Apr 24, 2020","43.76","43.37","44.20","41.83","54.90M","0.57%"
"Apr 23, 2020","43.51","43.29","44.69","42.81","26.98M","1.42%"
"Apr 22, 2020","42.90","42.60","43.24","42.05","22.53M","1.04%"
"Apr 20, 2020","42.46","43.26","43.26","42.23","28.90M","-3.50%"
"Apr 17, 2020","44.00","43.90","44.23","43.22","23.53M","2.90%"
"Apr 16, 2020","42.76","43.80","43.99","42.04","24.26M","-1.00%"
"Apr 15, 2020","43.19","43.50","43.90","42.61","28.69M","-3.01%"
"Apr 14, 2020","44.53","45.62","46.00","44.50","24.64M","-0.09%"
"Apr 13, 2020","44.57","43.20","44.57","42.98","21.95M","2.98%"
"Apr 09, 2020","43.28","43.95","44.47","42.84","29.80M","-0.53%"
"Apr 08, 2020","43.51","43.50","44.25","43.05","29.33M","-0.62%"
"Apr 07, 2020","43.78","45.19","45.50","43.56","34.06M","1.51%"
"Apr 06, 2020","43.13","42.60","43.39","41.97","31.84M","6.49%"
"Apr 03, 2020","40.50","42.80","42.87","39.76","31.54M","-5.33%"
"Apr 02, 2020","42.78","43.95","44.57","41.92","34.27M","-1.36%"
"Apr 01, 2020","43.37","41.81","44.12","41.20","37.02M","0.35%"
"Mar 31, 2020","43.22","42.30","44.49","42.22","39.03M","3.47%"
"Mar 30, 2020","41.77","40.92","42.32","40.74","31.19M","4.16%"
"Mar 27, 2020","40.10","39.30","41.44","39.20","32.16M","-4.52%"
"Mar 26, 2020","42.00","41.01","42.41","39.99","35.39M","2.82%"
"Mar 25, 2020","40.85","38.19","41.35","38.09","37.93M","8.53%"
"Mar 24, 2020","37.64","36.86","38.65","36.86","36.95M","10.38%"
"Mar 23, 2020","34.10","35.55","35.86","33.37","41.74M","-3.10%"
"Mar 20, 2020","35.19","37.90","39.41","34.71","50.20M","-3.32%"
"Mar 19, 2020","36.40","37.50","39.00","35.26","52.14M","-5.82%"
"Mar 18, 2020","38.65","38.80","40.87","35.70","59.55M","-6.89%"
"Mar 17, 2020","41.51","40.50","43.57","39.11","52.59M","6.33%"
"Mar 16, 2020","39.04","36.01","41.40","36.01","58.83M","-9.00%"
"Mar 13, 2020","42.90","42.00","44.03","37.00","67.25M","21.36%"
"Mar 12, 2020","35.35","36.00","36.00","32.45","61.99M","-13.23%"
"Mar 11, 2020","40.74","43.01","44.29","39.00","49.61M","-9.08%"
"Mar 10, 2020","44.81","41.90","45.34","40.80","62.97M","18.45%"
"Mar 09, 2020","37.83","40.45","41.54","37.81","58.88M","-15.20%"
"Mar 06, 2020","44.61","44.20","45.82","43.65","39.72M","-4.78%"
"Mar 05, 2020","46.85","47.66","47.95","45.95","29.09M","-3.54%"
"Mar 04, 2020","48.57","48.00","49.09","47.00","31.48M","4.79%"
"Mar 03, 2020","46.35","46.74","49.09","46.07","52.40M","-0.02%"
"Mar 02, 2020","46.36","44.88","47.09","44.81","48.37M","4.63%"
"Feb 28, 2020","44.31","43.99","44.31","43.20","33.23M","-0.36%"
"Feb 27, 2020","44.47","44.65","45.54","43.56","42.42M","-1.94%"
"Feb 26, 2020","45.35","46.66","46.84","45.06","46.92M","-9.54%"
"Feb 21, 2020","50.13","51.00","51.14","49.80","32.25M","-3.97%"
"Feb 20, 2020","52.20","53.27","53.49","52.06","18.82M","-1.16%"
"Feb 19, 2020","52.81","52.93","53.12","52.40","14.44M","0.02%"
"Feb 18, 2020","52.80","52.55","53.05","52.12","18.05M","-1.14%"
"Feb 17, 2020","53.41","51.71","53.41","51.62","28.13M","4.73%"
"Feb 14, 2020","51.00","52.21","52.28","50.95","19.90M","-2.19%"
"Feb 13, 2020","52.14","52.22","52.40","51.56","20.11M","-1.75%"
"Feb 12, 2020","53.07","53.10","53.38","52.83","28.54M","1.96%"
"Feb 11, 2020","52.05","51.15","52.20","51.02","27.56M","3.71%"
"Feb 10, 2020","50.19","51.90","51.90","49.92","28.24M","-3.67%"
"Feb 07, 2020","52.10","52.88","52.96","51.92","14.45M","-2.21%"
"Feb 06, 2020","53.28","53.66","53.92","52.82","22.16M","0.55%"
"Feb 05, 2020","52.99","53.32","53.62","52.99","26.80M","1.38%"
"Feb 04, 2020","52.27","52.20","52.58","51.97","21.56M","2.67%"
"Feb 03, 2020","50.91","50.50","51.09","49.80","18.86M","1.27%"
"Jan 31, 2020","50.27","50.96","51.06","49.80","29.99M","-2.39%"
"Jan 30, 2020","51.50","49.97","51.50","49.80","23.08M","1.48%"
