"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","2.385","2.440","2.445","2.360","2.22M","-1.85%"
"Oct 25, 2019","2.430","2.390","2.485","2.380","1.90M","2.53%"
"Oct 24, 2019","2.370","2.440","2.455","2.360","4.98M","-4.05%"
"Oct 23, 2019","2.470","2.410","2.475","2.390","2.87M","2.49%"
"Oct 22, 2019","2.410","2.370","2.420","2.350","5.45M","2.99%"
"Oct 21, 2019","2.340","2.320","2.370","2.310","3.90M","1.30%"
"Oct 18, 2019","2.310","2.380","2.390","2.280","8.22M","-4.15%"
"Oct 17, 2019","2.410","2.400","2.420","2.390","1.71M","1.26%"
"Oct 16, 2019","2.380","2.310","2.405","2.310","5.94M","3.03%"
"Oct 15, 2019","2.310","2.340","2.370","2.290","14.70M","-0.43%"
"Oct 14, 2019","2.320","2.400","2.418","2.300","6.20M","-4.53%"
"Oct 11, 2019","2.430","2.450","2.470","2.420","2.61M","0.41%"
"Oct 10, 2019","2.420","2.430","2.445","2.393","1.64M","1.68%"
"Oct 09, 2019","2.380","2.420","2.420","2.380","1.31M","-1.65%"
"Oct 08, 2019","2.420","2.370","2.430","2.360","7.36M","1.68%"
"Oct 07, 2019","2.380","2.360","2.410","2.360","4.61M","0.85%"
"Oct 04, 2019","2.360","2.350","2.380","2.330","980.89K","0.43%"
"Oct 03, 2019","2.350","2.340","2.360","2.300","9.92M","0.00%"
"Oct 02, 2019","2.350","2.350","2.360","2.305","6.50M","-0.84%"
"Oct 01, 2019","2.370","2.410","2.420","2.355","6.87M","-1.25%"
"Sep 30, 2019","2.400","2.410","2.420","2.370","12.86M","0.00%"
"Sep 27, 2019","2.400","2.440","2.440","2.370","2.03M","-1.23%"
"Sep 26, 2019","2.430","2.420","2.500","2.410","4.34M","0.41%"
"Sep 25, 2019","2.420","2.400","2.450","2.345","1.98M","0.00%"
"Sep 24, 2019","2.420","2.360","2.440","2.360","1.35M","2.11%"
"Sep 23, 2019","2.370","2.410","2.410","2.360","6.92M","-1.66%"
"Sep 20, 2019","2.410","2.410","2.430","2.360","17.76M","0.42%"
"Sep 19, 2019","2.400","2.420","2.470","2.400","3.69M","0.00%"
"Sep 18, 2019","2.400","2.340","2.470","2.330","14.59M","2.56%"
"Sep 17, 2019","2.340","2.370","2.470","2.270","15.41M","-2.09%"
"Sep 16, 2019","2.390","2.430","2.430","2.350","11.79M","-3.24%"
"Sep 13, 2019","2.470","2.490","2.520","2.435","3.10M","-0.80%"
