"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","11.470","10.170","11.935","10.170","14.78M","14.24%"
"Oct 24, 2019","10.040","9.760","10.050","9.760","4.29M","2.87%"
"Oct 23, 2019","9.760","9.610","9.795","9.560","2.78M","1.14%"
"Oct 22, 2019","9.650","9.760","9.900","9.410","3.48M","-1.13%"
"Oct 21, 2019","9.760","9.480","9.770","9.440","2.85M","3.50%"
"Oct 18, 2019","9.430","9.620","9.800","9.300","3.68M","-3.18%"
"Oct 17, 2019","9.740","9.590","9.805","9.570","3.57M","2.10%"
"Oct 16, 2019","9.540","9.110","9.645","9.080","7.11M","4.72%"
"Oct 15, 2019","9.110","9.150","9.185","9.030","2.92M","0.77%"
"Oct 14, 2019","9.040","9.040","9.250","9.040","2.21M","0.22%"
"Oct 11, 2019","9.020","9.030","9.160","8.980","3.97M","2.50%"
"Oct 10, 2019","8.800","8.740","8.970","8.700","2.98M","1.50%"
"Oct 09, 2019","8.670","8.860","8.870","8.585","3.52M","-0.46%"
"Oct 08, 2019","8.710","8.840","9.015","8.700","3.72M","-3.86%"
"Oct 07, 2019","9.060","9.080","9.280","8.900","3.25M","-1.20%"
"Oct 04, 2019","9.170","9.110","9.170","9.035","2.29M","0.44%"
"Oct 03, 2019","9.130","8.990","9.205","8.900","7.05M","1.56%"
"Oct 02, 2019","8.990","8.760","9.000","8.560","3.66M","1.01%"
"Oct 01, 2019","8.900","8.970","9.090","8.850","4.63M","-0.22%"
"Sep 30, 2019","8.920","9.070","9.070","8.880","3.42M","-0.22%"
"Sep 27, 2019","8.940","9.400","9.525","8.780","7.11M","-3.77%"
"Sep 26, 2019","9.290","9.300","9.475","9.270","3.39M","0.22%"
"Sep 25, 2019","9.270","9.170","9.370","9.100","2.34M","0.76%"
"Sep 24, 2019","9.200","9.480","9.480","9.090","4.99M","-2.44%"
"Sep 23, 2019","9.430","9.650","9.670","9.370","5.11M","-3.28%"
"Sep 20, 2019","9.750","9.800","9.880","9.540","5.60M","-0.61%"
"Sep 19, 2019","9.810","9.510","9.890","9.470","6.18M","2.51%"
"Sep 18, 2019","9.570","9.620","9.690","9.500","4.15M","-0.73%"
"Sep 17, 2019","9.640","9.330","9.730","9.290","8.09M","2.01%"
"Sep 16, 2019","9.450","9.500","9.530","9.310","4.22M","-2.38%"
"Sep 13, 2019","9.680","9.670","9.730","9.530","4.99M","0.10%"
"Sep 12, 2019","9.670","9.570","9.695","9.270","8.07M","1.47%"
"Sep 11, 2019","9.530","9.210","9.570","9.000","6.92M","3.59%"
"Sep 10, 2019","9.200","8.880","9.220","8.780","7.57M","2.79%"
"Sep 09, 2019","8.950","8.670","8.970","8.650","5.84M","4.19%"
"Sep 06, 2019","8.590","8.580","8.725","8.500","3.75M","0.35%"
"Sep 05, 2019","8.560","8.450","8.600","8.415","5.30M","1.78%"
"Sep 04, 2019","8.410","8.320","8.490","8.260","9.65M","3.57%"
"Sep 03, 2019","8.120","8.230","8.240","7.965","4.13M","-2.99%"
"Aug 30, 2019","8.370","8.420","8.520","8.310","8.51M","0.00%"
"Aug 29, 2019","8.370","8.290","8.400","8.080","6.40M","2.95%"
"Aug 28, 2019","8.130","7.850","8.390","7.780","12.20M","2.91%"
"Aug 27, 2019","7.900","7.850","8.220","7.850","7.43M","1.15%"
"Aug 26, 2019","7.810","7.900","7.940","7.700","6.14M","-0.51%"
"Aug 23, 2019","7.850","7.860","7.965","7.690","9.37M","-2.12%"
"Aug 22, 2019","8.020","8.450","8.500","7.940","10.37M","-5.20%"
"Aug 21, 2019","8.460","8.700","8.760","8.330","12.96M","-1.74%"
"Aug 20, 2019","8.610","8.240","8.740","8.180","12.33M","3.36%"
"Aug 19, 2019","8.330","8.080","8.370","7.930","17.73M","5.31%"
"Aug 16, 2019","7.910","7.380","7.940","7.370","14.43M","9.86%"
"Aug 15, 2019","7.200","7.350","7.510","7.020","23.70M","15.02%"
"Aug 14, 2019","6.260","6.420","6.430","6.170","6.05M","-4.72%"
"Aug 13, 2019","6.570","6.360","6.745","6.270","8.90M","3.63%"
"Aug 12, 2019","6.340","6.390","6.440","6.270","5.58M","-2.31%"
"Aug 09, 2019","6.490","6.620","6.640","6.470","5.39M","-3.85%"
"Aug 08, 2019","6.750","6.770","6.830","6.650","5.17M","1.35%"
"Aug 07, 2019","6.660","6.650","6.815","6.570","6.98M","-0.60%"
"Aug 06, 2019","6.700","6.800","6.880","6.670","9.07M","1.52%"
"Aug 05, 2019","6.600","6.790","6.850","6.480","10.55M","-8.33%"
"Aug 02, 2019","7.200","7.250","7.290","6.970","4.20M","-1.64%"
"Aug 01, 2019","7.320","7.580","7.860","7.230","3.80M","-3.68%"
"Jul 31, 2019","7.600","7.690","7.735","7.460","3.45M","-1.30%"
"Jul 30, 2019","7.700","7.930","7.930","7.655","2.43M","-3.02%"
"Jul 29, 2019","7.940","7.870","7.940","7.720","2.54M","0.13%"
"Jul 26, 2019","7.930","7.880","8.045","7.870","3.42M","0.76%"
"Jul 25, 2019","7.870","7.900","7.990","7.730","3.44M","-0.76%"
"Jul 24, 2019","7.930","7.580","7.960","7.510","5.24M","4.89%"
"Jul 23, 2019","7.560","7.490","7.575","7.420","4.45M","2.02%"
"Jul 22, 2019","7.410","7.460","7.510","7.390","5.08M","-1.33%"
"Jul 19, 2019","7.510","7.610","7.700","7.440","5.35M","0.13%"
"Jul 18, 2019","7.500","7.690","7.740","7.270","7.64M","-2.22%"
"Jul 17, 2019","7.670","7.880","7.915","7.670","3.92M","-2.29%"
"Jul 16, 2019","7.850","7.790","8.170","7.790","10.06M","0.51%"
"Jul 15, 2019","7.810","7.800","8.070","7.790","7.07M","1.03%"
