"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","135.81","135.40","135.85","135.40","8.30K","0.41%"
"Nov 07, 2019","135.25","133.10","136.00","133.10","41.37K","-0.51%"
"Nov 06, 2019","135.95","133.89","136.80","132.00","40.37K","2.14%"
"Nov 05, 2019","133.10","130.50","138.00","129.90","46.34K","-0.59%"
"Nov 04, 2019","133.89","130.50","138.00","129.90","44.11K","2.21%"
"Nov 01, 2019","130.99","130.47","131.00","129.83","50.32K","0.89%"
"Oct 31, 2019","129.83","129.67","130.37","128.28","42.94K","-0.28%"
"Oct 30, 2019","130.20","128.98","130.67","128.70","42.33K","0.93%"
"Oct 29, 2019","129.00","128.93","129.00","128.71","42.19K","0.00%"
"Oct 28, 2019","129.00","128.50","129.00","128.00","38.24K","0.28%"
"Oct 25, 2019","128.64","129.00","129.00","127.01","34.55K","-0.28%"
"Oct 24, 2019","129.00","128.99","129.00","128.50","33.51K","0.00%"
"Oct 23, 2019","129.00","127.14","129.50","127.14","39.03K","1.46%"
"Oct 22, 2019","127.14","126.00","128.00","126.00","42.64K","1.55%"
"Oct 21, 2019","125.20","124.60","126.39","124.60","42.72K","0.56%"
"Oct 18, 2019","124.50","123.19","124.87","123.19","30.70K","1.06%"
"Oct 17, 2019","123.19","122.11","123.19","122.11","32.89K","0.98%"
"Oct 16, 2019","122.00","121.99","122.50","121.99","39.40K","0.01%"
"Oct 15, 2019","121.99","121.33","121.99","121.00","41.01K","0.54%"
"Oct 14, 2019","121.33","121.58","121.94","120.50","39.59K","-0.22%"
"Oct 11, 2019","121.60","120.32","121.80","120.32","36.44K","1.06%"
"Oct 10, 2019","120.32","119.75","120.86","119.57","44.19K","0.64%"
"Oct 09, 2019","119.56","119.00","119.81","119.00","41.80K","0.47%"
"Oct 08, 2019","119.00","118.94","119.20","118.14","33.17K","0.02%"
"Oct 07, 2019","118.98","119.45","119.45","118.06","44.89K","-0.39%"
"Oct 04, 2019","119.45","118.00","119.50","118.00","29.83K","1.23%"
"Oct 03, 2019","118.00","118.00","118.14","117.53","35.44K","0.00%"
"Oct 02, 2019","118.00","118.00","118.18","117.15","51.56K","0.00%"
"Oct 01, 2019","118.00","118.00","118.00","115.00","122.34K","-4.01%"
"Sep 30, 2019","122.93","123.28","124.04","122.10","36.64K","-0.28%"
"Sep 27, 2019","123.28","122.19","123.58","122.19","26.78K","0.89%"
"Sep 26, 2019","122.19","121.04","122.57","121.04","24.23K","0.95%"
"Sep 25, 2019","121.04","120.10","121.08","119.92","27.04K","0.78%"
"Sep 24, 2019","120.10","119.39","120.10","119.11","34.60K","0.59%"
"Sep 23, 2019","119.39","121.14","123.02","116.46","53.04K","-1.40%"
"Sep 20, 2019","121.09","120.80","124.06","120.39","37.99K","-0.50%"
"Sep 19, 2019","121.70","121.00","121.89","120.95","32.63K","1.00%"
"Sep 18, 2019","120.50","119.05","122.00","119.05","35.06K","1.13%"
"Sep 17, 2019","119.15","117.53","119.71","117.53","26.03K","1.40%"
"Sep 16, 2019","117.51","117.42","118.68","117.40","30.49K","0.08%"
"Sep 13, 2019","117.42","116.50","119.00","116.48","28.94K","0.79%"
"Sep 12, 2019","116.50","116.00","116.50","115.94","23.73K","0.43%"
"Sep 11, 2019","116.00","116.45","116.49","115.10","29.55K","-0.39%"
"Sep 10, 2019","116.45","115.12","116.45","115.11","24.72K","1.21%"
"Sep 09, 2019","115.06","113.77","115.50","113.50","28.80K","1.82%"
"Sep 06, 2019","113.00","115.29","116.80","112.51","47.85K","-1.99%"
"Sep 05, 2019","115.30","114.50","115.48","113.12","29.36K","0.70%"
"Sep 04, 2019","114.50","115.00","116.50","112.92","42.52K","-0.30%"
"Sep 03, 2019","114.84","114.06","116.91","114.00","34.09K","0.74%"
"Sep 02, 2019","114.00","113.39","114.48","112.15","31.51K","0.81%"
"Aug 30, 2019","113.08","111.10","113.58","110.68","23.89K","1.78%"
"Aug 29, 2019","111.10","110.75","111.10","109.61","19.08K","0.46%"
"Aug 28, 2019","110.59","109.28","110.85","109.06","21.06K","1.42%"
"Aug 27, 2019","109.04","108.19","109.11","108.12","32.36K","0.79%"
"Aug 26, 2019","108.18","109.11","109.41","107.97","25.88K","-0.85%"
"Aug 23, 2019","109.11","109.01","109.11","108.72","29.89K","0.09%"
"Aug 22, 2019","109.01","108.99","109.11","108.77","20.68K","0.02%"
"Aug 21, 2019","108.99","108.97","109.21","108.66","24.60K","0.02%"
"Aug 20, 2019","108.97","108.59","109.05","108.13","29.37K","-0.46%"
"Aug 19, 2019","109.47","110.19","110.49","109.35","33.71K","-0.53%"
"Aug 16, 2019","110.05","110.00","110.50","109.35","27.34K","0.05%"
"Aug 15, 2019","110.00","110.00","110.29","109.13","21.35K","0.00%"
"Aug 14, 2019","110.00","110.95","110.95","109.83","32.42K","-0.87%"
"Aug 13, 2019","110.96","112.30","112.30","110.34","31.83K","-1.19%"
"Aug 12, 2019","112.30","112.00","112.40","111.00","36.80K","0.34%"
"Aug 09, 2019","111.92","112.12","112.87","110.92","37.55K","-0.16%"
"Aug 08, 2019","112.10","113.38","113.38","110.08","57.77K","-1.29%"
"Aug 07, 2019","113.57","112.19","114.65","111.82","34.82K","1.23%"
"Aug 06, 2019","112.19","110.92","112.20","110.83","26.50K","1.14%"
"Aug 05, 2019","110.92","110.68","110.94","109.25","29.97K","-0.88%"
"Aug 02, 2019","111.91","110.18","112.20","109.95","22.80K","1.57%"
"Aug 01, 2019","110.18","110.24","110.62","108.64","29.87K","0.16%"
"Jul 31, 2019","110.00","108.92","110.56","108.92","21.80K","1.03%"
"Jul 30, 2019","108.88","107.64","109.49","107.44","21.26K","1.15%"
"Jul 29, 2019","107.64","106.90","107.64","106.90","15.45K","-1.47%"
"Jul 26, 2019","109.25","109.95","109.96","108.53","23.03K","-0.66%"
"Jul 25, 2019","109.98","108.41","110.00","108.41","19.67K","1.55%"
"Jul 24, 2019","108.30","108.81","109.78","108.30","22.51K","-0.64%"
"Jul 23, 2019","109.00","108.99","109.88","108.60","21.03K","0.01%"
"Jul 22, 2019","108.99","109.44","109.44","108.00","26.97K","-0.42%"
"Jul 19, 2019","109.45","109.51","109.90","109.10","22.71K","-0.05%"
"Jul 18, 2019","109.51","109.49","109.85","108.61","25.97K","0.01%"
"Jul 17, 2019","109.50","109.50","109.50","108.48","27.67K","-0.09%"
"Jul 16, 2019","109.60","109.34","109.61","109.22","22.70K","0.24%"
"Jul 15, 2019","109.34","108.45","109.50","108.22","32.61K","0.76%"
