"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2020","2.78","2.84","2.87","2.76","220.70K","-3.47%"
"Jan 22, 2020","2.88","2.97","3.03","2.69","1.63M","-2.04%"
"Jan 21, 2020","2.94","3.05","3.13","2.92","1.18M","-5.16%"
"Jan 20, 2020","3.10","3.18","3.27","2.98","1.45M","-2.52%"
"Jan 17, 2020","3.18","3.31","3.31","3.15","551.40K","-3.64%"
"Jan 16, 2020","3.30","3.32","3.33","3.20","702.30K","0.92%"
"Jan 15, 2020","3.27","3.45","3.56","3.26","1.82M","-4.11%"
"Jan 14, 2020","3.41","3.27","3.49","3.20","1.71M","4.92%"
"Jan 13, 2020","3.25","3.20","3.30","3.16","754.50K","2.20%"
"Jan 10, 2020","3.18","3.17","3.35","3.13","2.04M","0.00%"
"Jan 09, 2020","3.18","3.46","3.47","3.13","1.95M","-5.92%"
"Jan 08, 2020","3.38","3.58","3.68","3.31","4.03M","-3.43%"
"Jan 07, 2020","3.50","3.50","3.80","3.36","7.92M","5.11%"
"Jan 06, 2020","3.33","2.94","3.52","2.94","7.81M","13.65%"
"Jan 03, 2020","2.93","2.69","3.15","2.66","3.38M","5.40%"
"Jan 02, 2020","2.78","2.61","2.84","2.60","1.68M","8.59%"
"Dec 30, 2019","2.56","2.60","2.67","2.49","960.90K","-1.54%"
"Dec 27, 2019","2.60","2.82","2.89","2.58","1.74M","-4.76%"
"Dec 26, 2019","2.73","2.44","2.85","2.35","2.85M","14.23%"
"Dec 23, 2019","2.39","2.49","2.57","2.13","2.58M","-0.83%"
"Dec 20, 2019","2.41","2.78","3.05","2.35","4.84M","-7.66%"
"Dec 19, 2019","2.61","3.00","3.23","2.39","11.31M","-19.94%"
"Dec 18, 2019","3.26","1.80","3.26","1.79","7.85M","85.23%"
"Dec 17, 2019","1.76","1.81","1.83","1.75","677.10K","0.00%"
"Dec 16, 2019","1.76","1.72","1.83","1.70","2.22M","5.39%"
"Dec 13, 2019","1.67","1.62","1.73","1.59","1.82M","3.73%"
"Dec 12, 2019","1.61","1.58","1.65","1.58","797.60K","2.55%"
"Dec 11, 2019","1.57","1.56","1.61","1.53","961.20K","0.64%"
"Dec 10, 2019","1.56","1.73","1.73","1.53","1.75M","-7.69%"
"Dec 09, 2019","1.69","1.60","1.88","1.60","4.69M","6.29%"
"Dec 06, 2019","1.59","1.48","1.61","1.48","1.20M","7.43%"
"Dec 05, 2019","1.48","1.46","1.50","1.46","242.40K","1.37%"
"Dec 04, 2019","1.46","1.51","1.56","1.46","512.70K","-2.67%"
"Dec 03, 2019","1.50","1.52","1.61","1.49","1.43M","-0.66%"
"Dec 02, 2019","1.51","1.46","1.58","1.44","1.49M","6.34%"
"Nov 29, 2019","1.42","1.43","1.45","1.42","190.10K","-0.70%"
"Nov 28, 2019","1.43","1.43","1.44","1.42","136.30K","0.00%"
"Nov 27, 2019","1.43","1.42","1.45","1.42","250.00K","0.00%"
"Nov 26, 2019","1.43","1.43","1.44","1.42","109.50K","-0.69%"
"Nov 25, 2019","1.44","1.43","1.44","1.41","217.00K","0.00%"
"Nov 22, 2019","1.44","1.43","1.44","1.42","106.00K","0.70%"
"Nov 21, 2019","1.43","1.41","1.45","1.41","279.60K","0.70%"
"Nov 19, 2019","1.42","1.43","1.45","1.42","245.00K","-1.39%"
"Nov 18, 2019","1.44","1.46","1.47","1.43","154.10K","-0.69%"
"Nov 14, 2019","1.45","1.44","1.47","1.42","275.70K","-3.33%"
"Nov 13, 2019","1.50","1.49","1.50","1.40","449.60K","0.67%"
"Nov 12, 2019","1.49","1.50","1.50","1.48","108.00K","0.00%"
"Nov 11, 2019","1.49","1.48","1.51","1.48","251.30K","-0.67%"
"Nov 08, 2019","1.50","1.52","1.52","1.50","120.90K","-0.66%"
"Nov 07, 2019","1.51","1.51","1.53","1.50","311.00K","-0.66%"
"Nov 06, 2019","1.52","1.54","1.56","1.52","342.70K","-1.30%"
"Nov 05, 2019","1.54","1.50","1.57","1.50","872.70K","3.36%"
"Nov 04, 2019","1.49","1.49","1.50","1.47","336.20K","0.00%"
"Nov 01, 2019","1.49","1.50","1.53","1.48","241.70K","0.68%"
"Oct 31, 2019","1.48","1.48","1.54","1.47","478.80K","0.68%"
"Oct 30, 2019","1.47","1.50","1.50","1.47","190.60K","-2.00%"
"Oct 29, 2019","1.50","1.52","1.53","1.48","137.80K","0.00%"
"Oct 28, 2019","1.50","1.47","1.56","1.45","713.10K","0.67%"
"Oct 25, 2019","1.49","1.49","1.51","1.48","201.80K","-1.32%"
"Oct 24, 2019","1.51","1.51","1.51","1.49","271.60K","-1.31%"
"Oct 23, 2019","1.53","1.56","1.56","1.51","184.20K","-1.92%"
"Oct 22, 2019","1.56","1.56","1.57","1.54","224.70K","0.00%"
"Oct 21, 2019","1.56","1.57","1.57","1.55","140.50K","-0.64%"
"Oct 18, 2019","1.57","1.62","1.62","1.56","253.10K","-1.87%"
"Oct 17, 2019","1.60","1.58","1.64","1.58","361.40K","1.91%"
"Oct 16, 2019","1.57","1.58","1.59","1.56","86.70K","0.64%"
"Oct 15, 2019","1.56","1.58","1.61","1.56","203.90K","-1.27%"
"Oct 14, 2019","1.58","1.58","1.61","1.54","308.30K","0.00%"
"Oct 11, 2019","1.58","1.57","1.58","1.55","121.80K","1.28%"
"Oct 10, 2019","1.56","1.59","1.59","1.55","87.20K","-1.89%"
"Oct 09, 2019","1.59","1.57","1.59","1.55","135.40K","1.92%"
"Oct 08, 2019","1.56","1.60","1.60","1.51","449.70K","-2.50%"
"Oct 07, 2019","1.60","1.62","1.64","1.60","204.30K","-0.62%"
"Oct 04, 2019","1.61","1.63","1.65","1.60","152.20K","-1.23%"
"Oct 03, 2019","1.63","1.61","1.65","1.60","112.20K","1.87%"
"Oct 02, 2019","1.60","1.62","1.63","1.59","184.00K","-3.03%"
"Oct 01, 2019","1.65","1.62","1.67","1.59","240.80K","2.48%"
"Sep 30, 2019","1.61","1.63","1.64","1.61","172.50K","-0.62%"
"Sep 27, 2019","1.62","1.65","1.68","1.62","355.60K","0.00%"
"Sep 26, 2019","1.62","1.64","1.72","1.62","755.40K","-1.22%"
"Sep 25, 2019","1.64","1.62","1.64","1.57","375.20K","1.23%"
"Sep 24, 2019","1.62","1.64","1.65","1.61","126.80K","-0.61%"
"Sep 23, 2019","1.63","1.66","1.66","1.62","150.00K","-1.21%"
"Sep 20, 2019","1.65","1.69","1.69","1.64","277.70K","-1.20%"
"Sep 19, 2019","1.67","1.76","1.78","1.64","747.20K","-3.47%"
"Sep 18, 2019","1.73","1.72","1.79","1.71","1.26M","3.59%"
"Sep 17, 2019","1.67","1.63","1.69","1.60","500.40K","3.09%"
"Sep 16, 2019","1.62","1.70","1.70","1.62","533.70K","-4.14%"
"Sep 13, 2019","1.69","1.79","1.82","1.68","1.15M","-6.11%"
"Sep 12, 2019","1.80","1.56","1.87","1.56","2.73M","14.65%"
"Sep 11, 2019","1.57","1.57","1.57","1.54","163.30K","1.29%"
"Sep 10, 2019","1.55","1.56","1.58","1.54","201.50K","0.00%"
"Sep 09, 2019","1.55","1.55","1.58","1.54","209.50K","0.00%"
"Sep 06, 2019","1.55","1.57","1.58","1.54","255.30K","-0.64%"
"Sep 05, 2019","1.56","1.59","1.60","1.56","262.10K","-1.27%"
"Sep 04, 2019","1.58","1.57","1.63","1.57","310.90K","1.28%"
"Sep 03, 2019","1.56","1.60","1.61","1.55","298.80K","-1.89%"
"Sep 02, 2019","1.59","1.62","1.66","1.58","535.80K","-1.24%"
"Aug 30, 2019","1.61","1.63","1.65","1.59","808.80K","1.26%"
"Aug 29, 2019","1.59","1.50","1.69","1.50","972.10K","6.00%"
"Aug 28, 2019","1.50","1.52","1.53","1.49","214.00K","0.00%"
"Aug 27, 2019","1.50","1.52","1.55","1.49","351.60K","-1.32%"
"Aug 26, 2019","1.52","1.56","1.57","1.50","291.50K","-0.65%"
"Aug 23, 2019","1.53","1.56","1.58","1.52","374.20K","-1.29%"
"Aug 22, 2019","1.55","1.63","1.64","1.55","401.00K","-3.13%"
"Aug 21, 2019","1.60","1.57","1.66","1.57","544.00K","2.56%"
"Aug 20, 2019","1.56","1.62","1.63","1.55","302.20K","-3.11%"
"Aug 19, 2019","1.61","1.67","1.70","1.61","307.20K","-0.62%"
"Aug 16, 2019","1.62","1.72","1.72","1.60","497.20K","-3.57%"
"Aug 15, 2019","1.68","1.87","1.87","1.65","1.67M","-11.58%"
"Aug 14, 2019","1.90","1.93","1.98","1.90","557.40K","-1.55%"
"Aug 13, 2019","1.93","1.96","1.97","1.92","491.00K","-1.53%"
"Aug 12, 2019","1.96","1.95","1.97","1.93","256.30K","0.51%"
"Aug 09, 2019","1.95","1.98","1.99","1.94","467.30K","-1.52%"
"Aug 08, 2019","1.98","1.96","2.00","1.93","543.30K","2.06%"
"Aug 07, 2019","1.94","1.98","2.00","1.92","343.70K","-1.52%"
"Aug 06, 2019","1.97","1.98","2.01","1.96","334.70K","0.00%"
"Aug 05, 2019","1.97","2.01","2.01","1.97","350.10K","-1.99%"
"Aug 02, 2019","2.01","2.01","2.04","1.99","260.90K","0.00%"
"Aug 01, 2019","2.01","2.01","2.09","2.00","913.50K","1.01%"
"Jul 31, 2019","1.99","2.01","2.02","1.99","372.80K","-0.50%"
"Jul 30, 2019","2.00","1.98","2.03","1.98","232.20K","0.50%"
"Jul 29, 2019","1.99","2.01","2.03","1.97","238.90K","-1.97%"
"Jul 26, 2019","2.03","2.01","2.03","1.96","420.80K","1.50%"
"Jul 25, 2019","2.00","2.02","2.04","1.98","518.40K","-0.99%"
"Jul 24, 2019","2.02","2.04","2.05","2.02","291.80K","-0.98%"
"Jul 23, 2019","2.04","2.05","2.09","2.03","424.20K","0.49%"
"Jul 22, 2019","2.03","2.08","2.10","2.03","696.10K","-2.40%"
"Jul 19, 2019","2.08","2.19","2.20","2.08","1.11M","-3.70%"
"Jul 18, 2019","2.16","2.16","2.35","2.15","2.49M","0.47%"
"Jul 17, 2019","2.15","2.14","2.25","2.08","3.49M","3.37%"
"Jul 16, 2019","2.08","2.08","2.15","2.07","1.18M","0.48%"
"Jul 15, 2019","2.07","2.05","2.18","2.02","2.01M","1.47%"
"Jul 12, 2019","2.04","2.05","2.07","2.02","357.00K","0.49%"
"Jul 11, 2019","2.03","2.05","2.08","2.03","641.30K","-0.98%"
"Jul 10, 2019","2.05","2.15","2.18","2.05","2.26M","0.00%"
"Jul 08, 2019","2.05","2.02","2.08","2.01","1.50M","1.99%"
"Jul 05, 2019","2.01","2.06","2.13","2.00","1.73M","-0.99%"
"Jul 04, 2019","2.03","1.95","2.07","1.92","2.03M","5.73%"
"Jul 03, 2019","1.92","1.91","1.96","1.90","412.20K","1.05%"
"Jul 02, 2019","1.90","1.94","1.94","1.90","577.00K","-2.06%"
"Jul 01, 2019","1.94","1.98","1.98","1.93","305.60K","0.00%"
