"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","47.75","45.90","47.95","45.90","-","4.03%"
"May 15, 2020","45.90","47.26","47.26","45.70","2.77M","-2.30%"
"May 14, 2020","46.98","46.55","47.47","46.10","3.57M","0.30%"
"May 13, 2020","46.84","47.00","47.50","46.61","3.06M","0.52%"
"May 12, 2020","46.60","47.07","48.42","46.60","3.32M","-0.58%"
"May 11, 2020","46.87","48.00","48.51","46.87","2.07M","-2.74%"
"May 08, 2020","48.19","48.29","48.90","47.66","1.67M","1.67%"
"May 07, 2020","47.40","48.82","49.49","47.40","3.20M","-3.95%"
"May 06, 2020","49.35","49.69","51.50","48.54","3.47M","-0.30%"
"May 05, 2020","49.50","48.52","50.09","48.08","2.91M","2.42%"
"May 04, 2020","48.33","45.05","49.10","45.05","4.49M","5.87%"
"Apr 30, 2020","45.65","46.49","47.13","45.65","3.88M","-3.02%"
"Apr 29, 2020","47.07","47.00","47.71","45.61","2.83M","1.01%"
"Apr 28, 2020","46.60","48.75","48.94","46.21","2.76M","-0.85%"
"Apr 27, 2020","47.00","46.50","47.60","45.64","2.69M","3.27%"
"Apr 24, 2020","45.51","47.80","48.40","44.43","4.72M","-6.51%"
"Apr 23, 2020","48.68","49.36","49.65","47.80","2.65M","-0.96%"
"Apr 22, 2020","49.15","48.03","49.89","48.03","2.42M","1.55%"
"Apr 20, 2020","48.40","47.80","49.35","47.54","2.26M","1.11%"
"Apr 17, 2020","47.87","49.77","50.01","47.62","3.10M","-2.47%"
"Apr 16, 2020","49.08","50.76","51.07","48.77","3.69M","-3.58%"
"Apr 15, 2020","50.90","51.09","51.82","50.62","3.26M","-1.98%"
"Apr 14, 2020","51.93","51.98","52.95","51.16","1.95M","0.35%"
"Apr 13, 2020","51.75","50.59","51.75","50.20","1.09M","1.87%"
"Apr 09, 2020","50.80","53.60","53.60","50.80","1.86M","-3.20%"
"Apr 08, 2020","52.48","51.03","52.96","50.97","2.01M","2.44%"
"Apr 07, 2020","51.23","54.08","55.20","51.23","2.87M","-1.48%"
"Apr 06, 2020","52.00","52.40","53.05","51.01","2.05M","3.36%"
"Apr 03, 2020","50.31","51.65","52.75","49.98","2.66M","-2.95%"
