"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","6.89","6.77","6.89","6.68","2.10K","1.77%"
"Nov 19, 2019","6.77","6.80","6.85","6.66","19.10K","-0.88%"
"Nov 18, 2019","6.83","6.90","7.05","6.61","30.60K","-2.43%"
"Nov 14, 2019","7.00","7.00","7.04","6.88","51.40K","0.00%"
"Nov 13, 2019","7.00","6.85","7.00","6.85","38.90K","2.19%"
"Nov 12, 2019","6.85","6.85","6.95","6.79","35.70K","-0.29%"
"Nov 11, 2019","6.87","6.88","6.90","6.71","23.30K","0.00%"
"Nov 08, 2019","6.87","6.90","6.90","6.70","13.20K","-0.15%"
"Nov 07, 2019","6.88","6.82","6.89","6.79","21.20K","1.18%"
"Nov 06, 2019","6.80","6.77","6.86","6.72","29.40K","0.89%"
"Nov 05, 2019","6.74","6.80","6.89","6.53","43.00K","-0.44%"
"Nov 04, 2019","6.77","6.70","6.85","6.70","23.60K","0.15%"
"Nov 01, 2019","6.76","6.60","6.85","6.55","74.10K","2.89%"
"Oct 31, 2019","6.57","6.31","6.57","6.31","21.70K","2.18%"
"Oct 30, 2019","6.43","6.04","6.43","6.03","27.10K","6.63%"
"Oct 29, 2019","6.03","6.01","6.08","5.85","19.60K","0.50%"
"Oct 28, 2019","6.00","6.00","6.17","5.99","21.90K","0.00%"
"Oct 25, 2019","6.00","5.90","6.01","5.88","27.60K","2.92%"
"Oct 24, 2019","5.83","5.71","5.83","5.62","16.10K","2.10%"
"Oct 23, 2019","5.71","5.50","5.71","5.50","35.00K","3.82%"
"Oct 22, 2019","5.50","5.36","5.50","5.36","65.20K","2.80%"
"Oct 21, 2019","5.35","5.31","5.38","5.30","9.30K","0.00%"
"Oct 18, 2019","5.35","5.17","5.36","5.17","33.90K","3.68%"
"Oct 17, 2019","5.16","5.17","5.26","5.15","26.00K","-1.90%"
"Oct 16, 2019","5.26","5.15","5.28","5.15","21.10K","1.35%"
"Oct 15, 2019","5.19","5.22","5.22","5.15","39.60K","-0.57%"
"Oct 14, 2019","5.22","5.21","5.23","5.15","10.00K","0.19%"
"Oct 11, 2019","5.21","5.19","5.25","5.10","32.00K","0.19%"
"Oct 10, 2019","5.20","5.23","5.23","5.12","14.90K","-0.38%"
"Oct 09, 2019","5.22","5.15","5.23","5.06","19.20K","2.15%"
"Oct 08, 2019","5.11","4.99","5.29","4.86","36.10K","2.40%"
"Oct 07, 2019","4.99","5.00","5.29","4.92","42.10K","-2.35%"
"Oct 04, 2019","5.11","5.35","5.35","5.07","44.80K","-4.49%"
"Oct 03, 2019","5.35","4.90","5.59","4.77","232.90K","9.18%"
"Oct 02, 2019","4.90","4.60","4.90","4.47","153.90K","6.52%"
"Oct 01, 2019","4.60","4.40","4.60","4.36","91.70K","5.02%"
"Sep 30, 2019","4.38","4.42","4.45","4.38","118.90K","-0.45%"
"Sep 27, 2019","4.40","4.44","4.49","4.39","371.00K","-0.23%"
"Sep 26, 2019","4.41","4.48","4.49","4.40","534.00K","-0.45%"
"Sep 25, 2019","4.43","4.52","4.53","4.39","465.50K","-1.77%"
"Sep 24, 2019","4.51","4.76","4.76","4.48","139.10K","-5.25%"
"Sep 23, 2019","4.76","4.74","4.77","4.58","33.50K","0.63%"
"Sep 20, 2019","4.73","4.73","4.74","4.64","23.00K","0.21%"
"Sep 19, 2019","4.72","4.64","4.72","4.63","53.70K","2.16%"
"Sep 18, 2019","4.62","4.50","4.63","4.50","33.70K","2.90%"
"Sep 17, 2019","4.49","4.42","4.49","4.40","130.00K","2.05%"
"Sep 16, 2019","4.40","4.47","4.47","4.39","65.70K","-0.90%"
"Sep 13, 2019","4.44","4.60","4.60","4.38","303.10K","-2.20%"
"Sep 12, 2019","4.54","4.68","4.70","4.45","336.50K","-1.94%"
"Sep 11, 2019","4.63","4.75","4.75","4.63","106.10K","-2.53%"
"Sep 10, 2019","4.75","4.86","4.86","4.66","56.30K","-2.06%"
"Sep 09, 2019","4.85","4.85","4.86","4.79","49.90K","-0.21%"
"Sep 06, 2019","4.86","4.80","4.86","4.79","18.90K","0.21%"
"Sep 05, 2019","4.85","4.70","4.86","4.70","42.50K","3.41%"
"Sep 04, 2019","4.69","4.64","4.69","4.60","31.00K","1.96%"
"Sep 03, 2019","4.60","4.60","4.69","4.55","59.90K","1.10%"
"Sep 02, 2019","4.55","4.81","4.81","4.55","984.00K","-7.89%"
"Aug 30, 2019","4.94","4.90","4.95","4.85","4.70K","0.41%"
"Aug 29, 2019","4.92","4.86","4.99","4.86","6.20K","0.41%"
"Aug 28, 2019","4.90","4.80","4.91","4.80","9.60K","0.00%"
"Aug 27, 2019","4.90","4.89","4.90","4.81","12.10K","0.41%"
"Aug 26, 2019","4.88","4.87","4.88","4.70","9.30K","2.74%"
"Aug 23, 2019","4.75","4.88","4.88","4.66","20.60K","-1.04%"
"Aug 22, 2019","4.80","4.87","4.87","4.75","7.60K","0.42%"
"Aug 21, 2019","4.78","4.67","4.80","4.62","16.90K","3.91%"
"Aug 20, 2019","4.60","4.83","4.99","4.60","320.70K","-3.77%"
"Aug 19, 2019","4.78","5.09","5.09","4.70","287.50K","-3.43%"
"Aug 16, 2019","4.95","5.11","5.23","4.85","79.00K","-3.13%"
"Aug 15, 2019","5.11","5.15","5.15","4.92","12.00K","-0.78%"
"Aug 14, 2019","5.15","5.05","5.15","4.89","22.50K","1.98%"
"Aug 13, 2019","5.05","5.02","5.15","4.89","59.10K","4.12%"
"Aug 12, 2019","4.85","4.77","4.99","4.76","46.30K","1.04%"
"Aug 09, 2019","4.80","4.87","4.87","4.70","307.20K","-2.04%"
"Aug 08, 2019","4.90","4.89","4.93","4.84","45.00K","0.20%"
"Aug 07, 2019","4.89","4.95","4.96","4.85","72.00K","-2.00%"
"Aug 06, 2019","4.99","5.12","5.13","4.99","28.30K","-3.11%"
"Aug 05, 2019","5.15","5.15","5.16","5.00","18.40K","0.19%"
"Aug 02, 2019","5.14","5.22","5.29","5.10","48.50K","-1.34%"
"Aug 01, 2019","5.21","5.26","5.28","5.20","23.30K","-0.76%"
"Jul 31, 2019","5.25","5.32","5.40","5.15","34.60K","-1.87%"
"Jul 30, 2019","5.35","5.41","5.44","5.20","54.90K","-2.37%"
"Jul 29, 2019","5.48","5.53","5.53","5.40","8.50K","-1.26%"
"Jul 26, 2019","5.55","5.40","5.55","5.37","23.40K","2.78%"
"Jul 25, 2019","5.40","5.65","5.65","5.28","66.20K","-4.42%"
"Jul 24, 2019","5.65","5.56","5.67","5.56","10.10K","1.07%"
"Jul 23, 2019","5.59","5.59","5.59","5.46","8.20K","0.18%"
"Jul 22, 2019","5.58","5.63","5.64","5.45","4.00K","1.27%"
"Jul 19, 2019","5.51","5.63","5.65","5.45","24.30K","-2.13%"
"Jul 18, 2019","5.63","5.62","5.65","5.50","16.40K","-2.76%"
"Jul 17, 2019","5.79","5.64","5.84","5.64","13.40K","2.66%"
"Jul 16, 2019","5.64","5.69","5.70","5.64","59.40K","-0.18%"
"Jul 15, 2019","5.65","5.85","5.85","5.50","70.90K","-0.88%"
"Jul 12, 2019","5.70","6.07","6.14","5.60","86.90K","-11.35%"
"Jul 11, 2019","6.43","6.33","6.49","6.29","321.90K","2.06%"
"Jul 10, 2019","6.30","5.95","6.51","5.94","240.60K","11.70%"
"Jul 08, 2019","5.64","4.77","5.78","4.69","326.90K","21.29%"
"Jul 05, 2019","4.65","4.65","4.65","4.59","2.30K","-0.21%"
"Jul 04, 2019","4.66","4.63","4.68","4.63","52.80K","1.53%"
"Jul 03, 2019","4.59","4.58","4.64","4.58","81.40K","0.00%"
"Jul 02, 2019","4.59","4.51","4.59","4.51","2.90K","1.77%"
"Jul 01, 2019","4.51","4.51","4.51","4.51","1.00K","-7.96%"
"Jun 28, 2019","4.90","4.91","4.91","4.90","0.30K","-0.20%"
"Jun 27, 2019","4.91","4.77","4.91","4.77","2.40K","0.61%"
"Jun 26, 2019","4.88","4.88","4.89","4.88","6.80K","0.00%"
"Jun 24, 2019","4.88","4.88","4.88","4.76","1.20K","0.00%"
"Jun 21, 2019","4.88","4.86","4.88","4.86","5.10K","-1.41%"
"Jun 18, 2019","4.95","4.80","4.95","4.80","1.10K","0.61%"
"Jun 17, 2019","4.92","4.92","4.92","4.92","0.10K","0.82%"
"Jun 14, 2019","4.88","4.90","4.90","4.88","2.00K","0.00%"
"Jun 13, 2019","4.88","4.88","4.95","4.88","10.50K","0.62%"
"Jun 12, 2019","4.85","4.85","4.85","4.72","0.60K","2.54%"
"Jun 11, 2019","4.73","4.79","4.90","4.73","17.40K","-2.47%"
"Jun 10, 2019","4.85","4.80","4.85","4.80","0.40K","-1.02%"
"Jun 07, 2019","4.90","4.85","4.93","4.85","0.40K","-1.41%"
"Jun 04, 2019","4.97","4.97","4.97","4.97","0.30K","-0.20%"
"Jun 03, 2019","4.98","4.85","4.98","4.85","0.20K","-0.40%"
"May 31, 2019","5.00","4.72","5.00","4.72","1.50K","2.04%"
"May 30, 2019","4.90","4.90","4.90","4.90","0.10K","1.03%"
"May 29, 2019","4.85","4.80","4.85","4.80","26.40K","-1.82%"
"May 28, 2019","4.94","4.89","4.94","4.87","1.10K","1.44%"
