"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","3.94","3.86","3.96","3.84","2.81M","2.87%"
"Oct 24, 2019","3.83","3.80","3.84","3.80","3.08M","-0.26%"
"Oct 23, 2019","3.84","3.85","3.87","3.84","1.41M","0.26%"
"Oct 22, 2019","3.83","3.81","3.86","3.81","1.12M","0.52%"
"Oct 21, 2019","3.81","3.77","3.83","3.77","944.43K","0.26%"
"Oct 18, 2019","3.80","3.77","3.82","3.77","777.14K","0.00%"
"Oct 17, 2019","3.80","3.79","3.81","3.77","1.31M","0.53%"
"Oct 16, 2019","3.78","3.77","3.81","3.75","1.60M","2.44%"
"Oct 15, 2019","3.69","3.80","3.85","3.67","2.81M","0.00%"
"Oct 14, 2019","3.69","3.69","3.72","3.67","1.14M","0.82%"
"Oct 11, 2019","3.66","3.70","3.70","3.66","715.61K","0.83%"
"Oct 10, 2019","3.63","3.65","3.68","3.62","909.52K","-0.27%"
"Oct 09, 2019","3.64","3.65","3.66","3.63","811.72K","-0.27%"
"Oct 08, 2019","3.65","3.60","3.66","3.60","2.06M","0.00%"
"Oct 07, 2019","3.65","3.63","3.65","3.61","1.41M","0.00%"
"Oct 04, 2019","3.65","3.63","3.67","3.61","1.57M","1.67%"
"Oct 03, 2019","3.59","3.61","3.63","3.58","2.74M","0.28%"
"Oct 02, 2019","3.58","3.52","3.58","3.51","1.22M","0.56%"
"Oct 01, 2019","3.56","3.56","3.57","3.52","1.06M","-2.47%"
"Sep 30, 2019","3.65","3.66","3.66","3.62","603.59K","1.11%"
"Sep 27, 2019","3.61","3.64","3.64","3.59","1.53M","-0.28%"
"Sep 26, 2019","3.62","3.60","3.62","3.57","861.56K","0.84%"
"Sep 25, 2019","3.59","3.61","3.61","3.57","615.76K","-0.28%"
"Sep 24, 2019","3.60","3.67","3.67","3.56","1.91M","-1.10%"
"Sep 23, 2019","3.64","3.65","3.65","3.60","1.03M","-2.15%"
"Sep 20, 2019","3.72","3.72","3.75","3.68","1.50M","2.20%"
"Sep 19, 2019","3.64","3.66","3.67","3.62","1.53M","-1.62%"
"Sep 18, 2019","3.70","3.71","3.73","3.67","958.90K","0.54%"
"Sep 17, 2019","3.68","3.65","3.69","3.64","1.25M","0.27%"
"Sep 16, 2019","3.67","3.71","3.71","3.67","537.26K","-1.87%"
"Sep 13, 2019","3.74","3.73","3.74","3.68","872.91K","1.36%"
"Sep 12, 2019","3.69","3.72","3.73","3.67","1.14M","0.27%"
"Sep 11, 2019","3.68","3.72","3.72","3.66","1.50M","-2.65%"
"Sep 10, 2019","3.78","3.79","3.81","3.77","673.96K","-0.26%"
"Sep 09, 2019","3.79","3.78","3.81","3.78","748.05K","1.34%"
"Sep 06, 2019","3.74","3.80","3.81","3.74","2.00M","-2.35%"
"Sep 05, 2019","3.83","3.75","3.83","3.74","1.77M","1.86%"
"Sep 04, 2019","3.76","3.78","3.78","3.74","631.74K","1.35%"
"Sep 03, 2019","3.71","3.77","3.78","3.70","1.41M","-2.88%"
"Aug 30, 2019","3.82","3.80","3.82","3.75","845.43K","2.41%"
"Aug 29, 2019","3.73","3.70","3.75","3.69","837.05K","1.63%"
"Aug 28, 2019","3.67","3.68","3.72","3.67","759.49K","-1.08%"
"Aug 27, 2019","3.71","3.72","3.73","3.71","869.50K","1.09%"
"Aug 26, 2019","3.67","3.71","3.71","3.66","876.80K","-1.08%"
"Aug 23, 2019","3.71","3.76","3.79","3.71","1.74M","-0.54%"
"Aug 22, 2019","3.73","3.77","3.78","3.72","1.35M","-1.32%"
"Aug 21, 2019","3.78","3.79","3.80","3.76","604.53K","0.53%"
"Aug 20, 2019","3.76","3.78","3.82","3.76","992.67K","0.00%"
"Aug 19, 2019","3.76","3.84","3.84","3.76","1.70M","-1.05%"
"Aug 16, 2019","3.80","3.76","3.83","3.76","973.29K","0.53%"
