"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","11.87","11.93","11.97","11.81","161.00K","-0.08%"
"Nov 19, 2019","11.88","11.61","11.95","11.54","1.00M","3.04%"
"Nov 18, 2019","11.53","11.47","11.77","11.47","1.46M","1.59%"
"Nov 14, 2019","11.35","11.12","11.43","11.05","639.80K","2.44%"
"Nov 13, 2019","11.08","11.05","11.16","10.98","433.50K","-0.18%"
"Nov 12, 2019","11.10","11.25","11.43","11.06","713.30K","-1.51%"
"Nov 11, 2019","11.27","11.02","11.40","10.83","890.30K","2.64%"
"Nov 08, 2019","10.98","11.13","11.13","10.81","841.70K","-0.99%"
"Nov 07, 2019","11.09","11.39","11.47","11.06","756.10K","-2.20%"
"Nov 06, 2019","11.34","11.10","11.37","11.01","705.80K","2.44%"
"Nov 05, 2019","11.07","11.05","11.19","10.96","573.60K","-0.09%"
"Nov 04, 2019","11.08","11.01","11.12","10.91","450.40K","0.64%"
"Nov 01, 2019","11.01","10.90","11.01","10.81","549.50K","1.01%"
"Oct 31, 2019","10.90","10.82","10.93","10.54","762.00K","0.74%"
"Oct 30, 2019","10.82","10.99","10.99","10.46","676.70K","-1.28%"
"Oct 29, 2019","10.96","11.05","11.19","10.90","599.30K","-0.81%"
"Oct 28, 2019","11.05","10.85","11.07","10.67","411.30K","1.94%"
"Oct 25, 2019","10.84","11.00","11.06","10.69","546.20K","-1.45%"
"Oct 24, 2019","11.00","11.05","11.17","10.92","378.40K","-0.45%"
"Oct 23, 2019","11.05","11.00","11.11","10.96","464.90K","0.45%"
"Oct 22, 2019","11.00","10.98","11.09","10.90","445.90K","0.64%"
"Oct 21, 2019","10.93","11.10","11.11","10.87","371.30K","-0.64%"
"Oct 18, 2019","11.00","11.20","11.24","10.97","584.40K","-1.79%"
"Oct 17, 2019","11.20","10.95","11.24","10.90","550.70K","2.28%"
"Oct 16, 2019","10.95","10.99","11.06","10.85","287.80K","-0.36%"
"Oct 15, 2019","10.99","11.00","11.06","10.95","500.80K","0.00%"
"Oct 14, 2019","10.99","10.99","11.10","10.92","299.10K","0.83%"
"Oct 11, 2019","10.90","10.90","11.06","10.82","480.00K","0.09%"
"Oct 10, 2019","10.89","10.57","10.89","10.48","392.60K","2.74%"
"Oct 09, 2019","10.60","10.37","10.63","10.35","443.40K","2.42%"
"Oct 08, 2019","10.35","10.84","10.84","10.35","826.70K","-4.34%"
"Oct 07, 2019","10.82","11.01","11.01","10.65","609.80K","-1.64%"
"Oct 04, 2019","11.00","10.95","11.00","10.83","214.30K","1.10%"
"Oct 03, 2019","10.88","11.05","11.07","10.85","499.30K","-1.54%"
"Oct 02, 2019","11.05","11.12","11.12","10.59","1.06M","-0.72%"
"Oct 01, 2019","11.13","11.15","11.15","10.98","360.40K","-0.18%"
"Sep 30, 2019","11.15","11.10","11.22","10.98","544.10K","0.90%"
"Sep 27, 2019","11.05","11.23","11.24","10.97","434.20K","-1.52%"
"Sep 26, 2019","11.22","10.96","11.28","10.96","466.80K","1.63%"
"Sep 25, 2019","11.04","11.02","11.07","10.86","639.80K","-0.36%"
"Sep 24, 2019","11.08","11.15","11.19","10.99","509.90K","-0.27%"
"Sep 23, 2019","11.11","11.20","11.20","11.05","473.10K","-1.24%"
"Sep 20, 2019","11.25","11.21","11.26","11.03","559.60K","0.36%"
"Sep 19, 2019","11.21","11.34","11.55","11.10","1.12M","0.00%"
"Sep 18, 2019","11.21","11.27","11.34","11.09","566.20K","-0.53%"
"Sep 17, 2019","11.27","11.25","11.28","11.06","670.10K","0.54%"
"Sep 16, 2019","11.21","11.21","11.35","11.10","520.50K","-1.23%"
"Sep 13, 2019","11.35","11.55","11.55","11.22","346.40K","-1.30%"
"Sep 12, 2019","11.50","11.70","11.74","11.47","314.70K","-1.71%"
"Sep 11, 2019","11.70","11.36","11.70","11.30","396.30K","3.72%"
"Sep 10, 2019","11.28","11.39","11.39","11.06","464.80K","-0.18%"
"Sep 09, 2019","11.30","12.00","12.09","11.25","1.77M","-5.83%"
"Sep 06, 2019","12.00","12.06","12.06","11.82","335.80K","0.93%"
"Sep 05, 2019","11.89","11.95","12.20","11.89","512.60K","-0.42%"
"Sep 04, 2019","11.94","11.96","12.17","11.76","898.10K","-0.17%"
"Sep 03, 2019","11.96","11.90","11.97","11.52","563.50K","0.50%"
"Sep 02, 2019","11.90","11.70","12.02","11.58","740.90K","-0.58%"
"Aug 30, 2019","11.97","11.16","11.97","11.10","972.00K","7.26%"
"Aug 29, 2019","11.16","11.20","11.32","11.10","715.40K","0.54%"
"Aug 28, 2019","11.10","11.37","11.37","11.10","461.90K","-2.63%"
"Aug 27, 2019","11.40","11.15","11.46","11.07","490.50K","1.24%"
"Aug 26, 2019","11.26","11.50","11.58","10.82","1.53M","-2.09%"
"Aug 23, 2019","11.50","11.63","11.63","11.19","533.20K","-0.86%"
"Aug 22, 2019","11.60","11.62","11.62","11.32","473.40K","-0.17%"
"Aug 21, 2019","11.62","11.75","11.76","11.50","335.70K","-1.11%"
"Aug 20, 2019","11.75","11.54","11.75","11.21","589.90K","1.91%"
"Aug 19, 2019","11.53","11.70","11.80","11.48","536.10K","-1.45%"
"Aug 16, 2019","11.70","11.65","11.84","11.30","689.80K","0.60%"
"Aug 15, 2019","11.63","12.04","12.39","11.11","2.16M","-3.16%"
"Aug 14, 2019","12.01","11.96","12.05","11.61","1.05M","1.35%"
"Aug 13, 2019","11.85","12.15","12.16","11.85","874.60K","-2.23%"
"Aug 12, 2019","12.12","12.19","12.28","11.93","701.60K","-0.57%"
"Aug 09, 2019","12.19","11.85","12.24","11.85","1.24M","3.31%"
"Aug 08, 2019","11.80","11.35","11.90","11.35","1.28M","3.96%"
"Aug 07, 2019","11.35","11.36","11.43","11.14","792.50K","-0.09%"
"Aug 06, 2019","11.36","11.34","11.49","11.26","788.20K","0.26%"
"Aug 05, 2019","11.33","11.30","11.49","10.99","858.20K","-0.18%"
"Aug 02, 2019","11.35","11.37","11.58","11.22","820.70K","-0.35%"
"Aug 01, 2019","11.39","11.85","11.86","11.35","1.77M","-4.29%"
"Jul 31, 2019","11.90","12.09","12.09","11.20","3.97M","-2.46%"
"Jul 30, 2019","12.20","12.15","12.37","12.06","435.90K","0.66%"
"Jul 29, 2019","12.12","12.08","12.18","11.93","547.20K","1.42%"
"Jul 26, 2019","11.95","12.14","12.16","11.95","591.70K","-0.83%"
"Jul 25, 2019","12.05","12.00","12.15","11.91","440.20K","0.42%"
"Jul 24, 2019","12.00","12.14","12.23","11.95","687.70K","-0.91%"
"Jul 23, 2019","12.11","12.33","12.38","12.02","603.90K","-1.46%"
"Jul 22, 2019","12.29","12.60","12.66","11.90","1.15M","-1.84%"
"Jul 19, 2019","12.52","12.39","12.60","12.21","758.90K","1.38%"
"Jul 18, 2019","12.35","12.02","12.37","12.02","688.70K","3.00%"
"Jul 17, 2019","11.99","12.17","12.27","11.95","620.10K","-1.24%"
"Jul 16, 2019","12.14","12.06","12.22","11.93","713.80K","1.59%"
"Jul 15, 2019","11.95","11.91","12.29","11.84","1.10M","0.42%"
"Jul 12, 2019","11.90","11.78","11.96","11.68","476.30K","1.28%"
"Jul 11, 2019","11.75","11.81","11.83","11.43","887.30K","0.43%"
"Jul 10, 2019","11.70","12.08","12.16","11.56","1.75M","-1.68%"
"Jul 08, 2019","11.90","11.80","12.01","11.56","898.50K","1.28%"
"Jul 05, 2019","11.75","11.45","11.94","11.24","947.30K","3.07%"
"Jul 04, 2019","11.40","11.42","11.63","11.40","550.50K","0.88%"
"Jul 03, 2019","11.30","11.49","11.70","11.23","1.27M","-0.79%"
"Jul 02, 2019","11.39","11.25","11.56","11.13","1.24M","2.24%"
"Jul 01, 2019","11.14","11.10","11.20","10.93","816.70K","1.92%"
"Jun 28, 2019","10.93","11.08","11.14","10.52","896.10K","-0.64%"
"Jun 27, 2019","11.00","11.02","11.04","10.95","302.70K","0.00%"
"Jun 26, 2019","11.00","10.90","11.04","10.90","566.20K","1.01%"
"Jun 25, 2019","10.89","11.01","11.06","10.84","409.40K","-1.00%"
"Jun 24, 2019","11.00","11.00","11.17","10.96","375.80K","0.00%"
"Jun 21, 2019","11.00","11.00","11.05","10.95","546.20K","0.00%"
"Jun 19, 2019","11.00","10.98","11.03","10.93","228.20K","0.36%"
"Jun 18, 2019","10.96","10.91","11.06","10.91","252.80K","0.55%"
"Jun 17, 2019","10.90","11.06","11.08","10.90","324.60K","-1.00%"
"Jun 14, 2019","11.01","11.01","11.19","10.88","437.20K","0.55%"
"Jun 13, 2019","10.95","10.79","11.00","10.75","528.60K","2.24%"
"Jun 12, 2019","10.71","11.00","11.09","10.70","402.70K","-2.64%"
"Jun 11, 2019","11.00","11.20","11.38","10.92","806.10K","-1.79%"
"Jun 10, 2019","11.20","10.90","11.22","10.83","411.40K","2.38%"
"Jun 07, 2019","10.94","10.67","10.94","10.52","881.70K","2.82%"
"Jun 06, 2019","10.64","10.30","10.65","10.29","1.14M","4.31%"
"Jun 05, 2019","10.20","10.10","10.30","10.10","672.30K","0.99%"
"Jun 04, 2019","10.10","9.95","10.23","9.86","1.00M","2.02%"
"Jun 03, 2019","9.90","9.91","10.09","9.76","972.40K","-0.10%"
"May 31, 2019","9.91","9.94","10.15","9.88","598.50K","0.10%"
"May 30, 2019","9.90","9.86","10.03","9.80","484.40K","0.41%"
"May 29, 2019","9.86","10.00","10.05","9.83","401.50K","-1.40%"
"May 28, 2019","10.00","9.98","10.07","9.78","773.10K","0.20%"
"May 27, 2019","9.98","9.90","9.99","9.71","481.30K","1.01%"
"May 24, 2019","9.88","9.83","9.95","9.66","509.80K","0.71%"
"May 23, 2019","9.81","9.95","10.36","9.76","980.80K","-1.21%"
"May 22, 2019","9.93","9.71","10.30","9.68","913.50K","2.37%"
"May 21, 2019","9.70","9.39","9.70","9.39","812.90K","3.97%"
"May 20, 2019","9.33","8.86","9.42","8.86","654.50K","5.42%"
"May 17, 2019","8.85","8.98","9.07","8.69","577.20K","-1.67%"
"May 16, 2019","9.00","9.13","9.13","8.80","348.70K","-1.21%"
