"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","4.82","2.70","4.88","2.64","61.32M","107.76%"
"Oct 24, 2019","2.32","2.20","2.35","2.20","131.87K","0.87%"
"Oct 23, 2019","2.30","2.23","2.37","2.23","113.72K","0.00%"
"Oct 22, 2019","2.30","2.33","2.38","2.28","79.86K","-0.86%"
"Oct 21, 2019","2.32","2.37","2.40","2.31","96.80K","-2.11%"
"Oct 18, 2019","2.37","2.44","2.44","2.32","104.83K","-4.05%"
"Oct 17, 2019","2.47","2.31","2.49","2.31","171.05K","6.01%"
"Oct 16, 2019","2.33","2.37","2.40","2.30","67.44K","-1.27%"
"Oct 15, 2019","2.36","2.25","2.39","2.23","102.72K","4.42%"
"Oct 14, 2019","2.26","2.30","2.34","2.23","61.30K","-0.88%"
"Oct 11, 2019","2.28","2.23","2.32","2.17","238.29K","4.11%"
"Oct 10, 2019","2.19","2.24","2.24","2.15","180.36K","-2.23%"
"Oct 09, 2019","2.24","2.21","2.25","2.18","191.01K","1.82%"
"Oct 08, 2019","2.20","2.22","2.25","2.15","253.66K","-1.79%"
"Oct 07, 2019","2.24","2.31","2.32","2.21","86.57K","-4.27%"
"Oct 04, 2019","2.34","2.36","2.37","2.25","83.75K","0.43%"
"Oct 03, 2019","2.33","2.23","2.35","2.20","134.77K","4.02%"
"Oct 02, 2019","2.24","2.22","2.26","2.19","102.67K","0.00%"
"Oct 01, 2019","2.24","2.30","2.34","2.20","92.02K","-2.18%"
"Sep 30, 2019","2.29","2.37","2.48","2.25","279.77K","-1.29%"
"Sep 27, 2019","2.32","2.43","2.53","2.30","230.59K","-4.92%"
"Sep 26, 2019","2.44","2.57","2.57","2.41","133.43K","-5.06%"
"Sep 25, 2019","2.57","2.43","2.58","2.40","197.26K","5.33%"
"Sep 24, 2019","2.44","2.60","2.62","2.40","330.63K","-6.87%"
"Sep 23, 2019","2.62","2.65","2.66","2.56","172.88K","-1.13%"
"Sep 20, 2019","2.65","2.71","2.75","2.65","258.41K","-1.85%"
"Sep 19, 2019","2.70","2.67","2.74","2.65","137.57K","1.12%"
"Sep 18, 2019","2.67","2.61","2.77","2.57","290.51K","2.69%"
"Sep 17, 2019","2.60","2.68","2.69","2.60","137.28K","-2.62%"
"Sep 16, 2019","2.67","2.73","2.76","2.66","194.01K","-4.30%"
"Sep 13, 2019","2.79","2.79","2.80","2.69","133.88K","-0.36%"
"Sep 12, 2019","2.80","2.74","2.83","2.67","210.62K","1.82%"
"Sep 11, 2019","2.75","2.78","2.85","2.70","267.65K","-1.43%"
"Sep 10, 2019","2.79","2.69","2.85","2.69","249.42K","3.72%"
"Sep 09, 2019","2.69","2.68","2.79","2.66","200.39K","0.37%"
"Sep 06, 2019","2.68","2.74","2.80","2.68","124.94K","-2.19%"
"Sep 05, 2019","2.74","2.67","2.81","2.67","254.24K","4.58%"
"Sep 04, 2019","2.62","2.48","2.64","2.48","175.14K","6.50%"
"Sep 03, 2019","2.46","2.52","2.55","2.40","276.44K","-2.38%"
"Aug 30, 2019","2.52","2.69","2.71","2.44","431.94K","-6.32%"
"Aug 29, 2019","2.69","2.76","2.83","2.61","404.47K","-1.82%"
"Aug 28, 2019","2.74","2.76","2.84","2.71","217.01K","-1.08%"
"Aug 27, 2019","2.77","2.80","2.98","2.76","421.72K","-0.72%"
"Aug 26, 2019","2.79","2.80","2.87","2.70","268.48K","-0.36%"
"Aug 23, 2019","2.80","2.85","2.97","2.76","641.56K","-6.67%"
"Aug 22, 2019","3.00","2.63","3.02","2.60","1.49M","14.94%"
"Aug 21, 2019","2.61","2.60","2.70","2.52","1.33M","1.16%"
"Aug 20, 2019","2.58","2.60","2.74","2.52","424.73K","-1.53%"
"Aug 19, 2019","2.62","2.61","2.78","2.60","740.82K","3.97%"
"Aug 16, 2019","2.52","2.45","2.57","2.35","553.01K","2.86%"
"Aug 15, 2019","2.45","2.58","2.72","2.41","1.18M","-7.55%"
"Aug 14, 2019","2.65","2.10","2.77","2.10","4.05M","28.64%"
"Aug 13, 2019","2.06","2.04","2.15","2.04","165.51K","0.98%"
"Aug 12, 2019","2.04","2.08","2.12","2.02","98.71K","-1.45%"
"Aug 09, 2019","2.07","2.11","2.13","2.05","146.28K","-1.90%"
"Aug 08, 2019","2.11","1.99","2.11","1.99","144.38K","7.11%"
"Aug 07, 2019","1.97","1.99","2.05","1.95","101.63K","-2.96%"
"Aug 06, 2019","2.03","1.93","2.05","1.93","147.76K","6.84%"
"Aug 05, 2019","1.90","2.08","2.09","1.87","310.82K","-8.65%"
"Aug 02, 2019","2.08","2.09","2.16","2.02","268.63K","-1.89%"
"Aug 01, 2019","2.12","2.18","2.29","2.12","236.33K","-4.93%"
"Jul 31, 2019","2.23","2.32","2.33","2.21","109.76K","-3.88%"
"Jul 30, 2019","2.32","2.31","2.36","2.27","126.56K","-0.85%"
"Jul 29, 2019","2.34","2.37","2.37","2.29","113.00K","-2.09%"
"Jul 26, 2019","2.39","2.38","2.42","2.32","132.28K","0.84%"
