"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","57.85","57.96","57.98","57.65","8.64K","-0.19%"
"Oct 15, 2019","57.96","57.82","57.96","57.77","7.46K","0.24%"
"Oct 14, 2019","57.82","57.90","57.90","57.61","8.32K","-0.12%"
"Oct 11, 2019","57.89","57.78","57.90","57.70","7.57K","0.23%"
"Oct 10, 2019","57.76","57.79","57.80","57.67","6.35K","-0.05%"
"Oct 09, 2019","57.79","57.90","57.95","57.69","5.31K","-0.14%"
"Oct 08, 2019","57.87","57.87","57.88","57.43","10.07K","-0.16%"
"Oct 07, 2019","57.96","57.36","57.96","57.30","15.85K","1.05%"
"Oct 04, 2019","57.36","57.39","57.50","57.05","8.17K","0.63%"
"Oct 03, 2019","57.00","57.15","57.42","57.00","14.25K","-0.21%"
"Oct 02, 2019","57.12","57.50","57.98","57.11","9.60K","-0.51%"
"Oct 01, 2019","57.41","57.85","57.85","57.00","15.26K","-0.78%"
"Sep 30, 2019","57.86","57.33","57.90","57.22","26.46K","1.14%"
"Sep 27, 2019","57.21","57.27","57.41","57.13","23.47K","0.14%"
"Sep 26, 2019","57.13","57.19","57.69","57.11","25.49K","-0.07%"
"Sep 25, 2019","57.17","56.98","57.50","56.98","23.72K","-0.03%"
"Sep 24, 2019","57.19","57.73","57.73","56.50","22.78K","-0.03%"
"Sep 23, 2019","57.21","57.69","58.17","57.07","29.76K","-0.83%"
"Sep 20, 2019","57.69","57.22","58.19","57.15","16.62K","-0.55%"
"Sep 19, 2019","58.01","58.24","58.24","57.96","7.60K","0.02%"
"Sep 18, 2019","58.00","58.01","58.25","57.85","12.91K","0.00%"
"Sep 17, 2019","58.00","57.99","58.25","57.85","8.94K","0.02%"
"Sep 16, 2019","57.99","58.25","58.25","57.82","6.26K","-0.46%"
"Sep 13, 2019","58.26","58.39","58.40","57.99","6.50K","-0.07%"
"Sep 12, 2019","58.30","58.00","58.40","57.88","10.53K","0.67%"
"Sep 11, 2019","57.91","57.83","58.20","57.50","7.80K","0.19%"
"Sep 10, 2019","57.80","57.80","58.25","57.66","5.27K","0.17%"
"Sep 09, 2019","57.70","58.25","58.29","57.45","8.85K","-1.03%"
"Sep 06, 2019","58.30","57.90","59.00","57.87","8.49K","0.78%"
"Sep 05, 2019","57.85","57.50","58.02","57.50","6.26K","0.85%"
"Sep 04, 2019","57.36","57.40","57.62","57.01","6.98K","0.28%"
"Sep 03, 2019","57.20","57.00","57.50","56.45","9.46K","0.25%"
"Sep 02, 2019","57.06","57.00","57.50","56.10","14.80K","-1.99%"
"Aug 30, 2019","58.22","57.49","59.80","57.01","25.45K","1.27%"
"Aug 29, 2019","57.49","56.79","57.90","56.60","12.82K","1.05%"
"Aug 28, 2019","56.89","56.50","56.90","56.20","10.98K","1.41%"
"Aug 27, 2019","56.10","56.64","56.70","56.10","10.52K","-0.27%"
"Aug 26, 2019","56.25","56.40","56.80","56.20","8.97K","-0.64%"
"Aug 23, 2019","56.61","56.10","56.61","56.05","8.11K","0.60%"
"Aug 22, 2019","56.27","56.27","56.55","56.21","5.14K","0.12%"
"Aug 21, 2019","56.20","56.47","56.50","56.06","7.85K","-0.48%"
"Aug 20, 2019","56.47","56.50","56.65","56.00","7.98K","-0.04%"
"Aug 19, 2019","56.49","56.45","56.95","56.31","6.26K","0.05%"
"Aug 16, 2019","56.46","56.25","56.49","56.15","4.96K","0.44%"
