"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","129.00","129.50","130.00","128.70","37.23K","-0.30%"
"Nov 07, 2019","129.39","124.99","130.14","124.55","102.93K","2.07%"
"Nov 06, 2019","126.76","126.12","127.00","124.39","210.98K","1.82%"
"Nov 05, 2019","124.50","124.50","126.93","124.39","110.08K","-1.11%"
"Nov 04, 2019","125.90","124.50","126.39","124.50","95.05K","1.12%"
"Nov 01, 2019","124.50","121.12","124.50","121.00","127.02K","2.89%"
"Oct 31, 2019","121.00","118.47","121.00","118.03","120.54K","2.54%"
"Oct 30, 2019","118.00","116.99","118.35","116.99","57.42K","1.03%"
"Oct 29, 2019","116.80","118.21","118.80","116.69","75.50K","-1.19%"
"Oct 28, 2019","118.21","118.45","119.00","117.75","119.63K","0.01%"
"Oct 25, 2019","118.20","118.99","118.99","118.00","95.51K","-0.66%"
"Oct 24, 2019","118.99","120.00","120.49","118.05","99.87K","-0.84%"
"Oct 23, 2019","120.00","118.00","120.00","117.35","83.36K","1.48%"
"Oct 22, 2019","118.25","117.30","118.90","115.10","105.39K","0.68%"
"Oct 21, 2019","117.45","114.09","117.45","114.00","100.81K","3.44%"
"Oct 18, 2019","113.54","112.77","113.71","112.56","73.14K","1.00%"
"Oct 17, 2019","112.42","113.35","113.68","111.82","89.87K","-0.75%"
"Oct 16, 2019","113.27","113.34","113.60","113.21","65.45K","-0.06%"
"Oct 15, 2019","113.34","113.21","113.89","112.92","71.85K","0.11%"
"Oct 14, 2019","113.21","113.60","114.30","112.91","77.59K","-0.18%"
"Oct 11, 2019","113.41","113.31","113.53","112.91","62.77K","0.09%"
"Oct 10, 2019","113.31","113.41","113.41","112.67","44.41K","-0.09%"
"Oct 09, 2019","113.41","113.34","113.41","112.62","79.17K","0.00%"
"Oct 08, 2019","113.41","113.71","114.75","112.77","71.45K","-0.69%"
"Oct 07, 2019","114.20","113.45","115.78","113.00","109.78K","1.06%"
"Oct 04, 2019","113.00","113.38","113.50","112.90","68.93K","0.00%"
"Oct 03, 2019","113.00","113.05","113.93","112.82","64.64K","-0.04%"
"Oct 02, 2019","113.05","113.00","113.95","112.67","68.25K","0.36%"
"Oct 01, 2019","112.65","112.69","114.12","112.19","89.92K","-0.03%"
"Sep 30, 2019","112.68","111.10","112.68","110.98","53.58K","1.53%"
"Sep 27, 2019","110.98","110.15","111.08","109.84","52.33K","0.81%"
"Sep 26, 2019","110.09","110.05","110.30","109.23","55.79K","0.25%"
"Sep 25, 2019","109.82","110.29","110.44","109.61","86.53K","-0.25%"
"Sep 24, 2019","110.09","110.70","111.19","109.73","104.78K","-0.36%"
"Sep 23, 2019","110.49","111.05","111.05","110.21","86.75K","-1.22%"
"Sep 20, 2019","111.85","112.46","112.56","111.52","86.10K","-0.54%"
"Sep 19, 2019","112.46","111.50","112.77","111.50","59.83K","0.92%"
"Sep 18, 2019","111.43","111.22","111.62","110.78","61.86K","0.18%"
"Sep 17, 2019","111.23","111.43","111.82","110.94","53.33K","-0.17%"
"Sep 16, 2019","111.42","111.68","111.83","110.63","55.37K","-0.22%"
"Sep 13, 2019","111.67","111.03","111.68","110.56","49.38K","0.62%"
"Sep 12, 2019","110.98","111.04","111.81","110.45","59.53K","0.05%"
"Sep 11, 2019","110.93","111.82","111.82","110.93","60.21K","-0.80%"
"Sep 10, 2019","111.82","111.83","112.07","111.43","82.14K","0.02%"
"Sep 09, 2019","111.80","112.11","112.23","111.43","67.32K","-0.78%"
"Sep 06, 2019","112.68","112.50","112.69","112.00","75.31K","0.17%"
"Sep 05, 2019","112.49","112.30","112.79","111.58","76.97K","0.17%"
"Sep 04, 2019","112.30","112.74","112.74","111.57","81.36K","0.72%"
"Sep 03, 2019","111.50","112.12","113.00","111.50","100.40K","-0.56%"
"Sep 02, 2019","112.13","111.48","112.23","111.02","99.82K","0.61%"
"Aug 30, 2019","111.45","111.21","111.48","110.82","41.22K","0.21%"
"Aug 29, 2019","111.22","111.49","111.49","110.50","29.14K","-0.21%"
"Aug 28, 2019","111.45","110.60","111.45","110.02","32.20K","0.63%"
"Aug 27, 2019","110.75","110.93","110.93","110.12","41.00K","-0.17%"
"Aug 26, 2019","110.94","110.90","111.45","110.12","33.47K","0.08%"
"Aug 23, 2019","110.85","111.69","111.79","110.13","45.49K","-0.75%"
"Aug 22, 2019","111.69","111.25","111.69","111.11","32.46K","0.52%"
"Aug 21, 2019","111.11","111.47","111.50","111.01","36.92K","-0.21%"
"Aug 20, 2019","111.34","111.65","111.90","111.00","62.22K","-0.27%"
"Aug 19, 2019","111.64","111.80","111.98","110.52","76.89K","-0.09%"
"Aug 16, 2019","111.74","108.95","111.99","108.95","71.70K","2.59%"
"Aug 15, 2019","108.92","108.60","109.00","108.10","42.52K","0.28%"
"Aug 14, 2019","108.62","108.37","109.11","108.04","51.69K","0.20%"
