"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","26.44","23.81","27.03","23.81","-","11.05%"
"May 15, 2020","23.81","23.61","24.67","22.81","4.33M","-1.29%"
"May 14, 2020","24.12","23.50","24.39","22.81","4.08M","1.43%"
"May 13, 2020","23.78","24.84","25.26","23.30","5.34M","-3.53%"
"May 12, 2020","24.65","26.30","27.46","24.45","5.36M","-4.49%"
"May 11, 2020","25.81","26.83","26.90","25.75","3.29M","-4.55%"
"May 08, 2020","27.04","27.96","27.96","26.50","3.66M","0.97%"
"May 07, 2020","26.78","28.41","28.78","26.20","6.03M","-4.49%"
"May 06, 2020","28.04","28.96","29.41","27.24","3.53M","-2.77%"
"May 05, 2020","28.84","29.06","30.05","28.63","2.97M","1.09%"
"May 04, 2020","28.53","29.22","29.66","28.05","4.11M","-6.00%"
"Apr 30, 2020","30.35","29.23","31.10","29.04","9.32M","0.66%"
"Apr 29, 2020","30.15","28.95","30.90","28.00","4.12M","5.79%"
"Apr 28, 2020","28.50","28.15","29.00","27.80","3.72M","2.59%"
"Apr 27, 2020","27.78","28.00","28.47","26.51","4.06M","2.74%"
"Apr 24, 2020","27.04","28.07","28.38","24.67","5.56M","-4.67%"
"Apr 23, 2020","28.37","30.91","30.91","27.84","5.07M","-6.17%"
"Apr 22, 2020","30.23","29.03","31.22","28.76","3.36M","6.21%"
"Apr 20, 2020","28.46","28.17","29.59","27.42","2.81M","0.00%"
"Apr 17, 2020","28.46","28.72","30.68","27.97","3.56M","1.75%"
"Apr 16, 2020","27.97","27.56","28.52","26.91","4.02M","1.71%"
"Apr 15, 2020","27.50","26.06","28.59","25.73","4.05M","3.13%"
"Apr 14, 2020","26.67","26.50","27.48","26.39","2.22M","3.31%"
"Apr 13, 2020","25.81","26.50","26.65","24.35","5.66M","-2.77%"
"Apr 09, 2020","26.55","27.19","27.80","26.01","2.56M","-1.46%"
"Apr 08, 2020","26.94","26.30","27.30","25.22","4.22M","3.58%"
"Apr 07, 2020","26.01","23.36","27.36","23.23","6.52M","19.32%"
"Apr 06, 2020","21.80","21.98","23.00","21.63","3.47M","5.61%"
"Apr 03, 2020","20.64","20.02","21.08","19.77","6.97M","1.99%"
"Apr 02, 2020","20.24","21.61","21.97","19.76","5.38M","-4.98%"
"Apr 01, 2020","21.30","20.81","22.45","20.13","5.33M","-2.12%"
"Mar 31, 2020","21.76","26.19","26.19","21.57","7.02M","-17.18%"
"Mar 30, 2020","26.27","27.59","28.80","25.92","4.06M","-6.16%"
"Mar 27, 2020","28.00","30.36","31.00","27.82","5.10M","-13.42%"
"Mar 26, 2020","32.34","26.11","33.07","26.02","7.68M","20.72%"
"Mar 25, 2020","26.79","21.77","27.38","21.71","5.65M","23.06%"
"Mar 24, 2020","21.77","23.70","25.00","21.66","6.37M","3.67%"
"Mar 23, 2020","21.00","22.61","23.59","20.50","6.73M","-6.25%"
"Mar 20, 2020","22.40","25.26","25.59","21.30","7.33M","-7.74%"
"Mar 19, 2020","24.28","21.81","25.52","20.11","6.83M","3.19%"
"Mar 18, 2020","23.53","25.00","25.37","21.97","5.99M","-11.61%"
"Mar 17, 2020","26.62","26.04","26.89","25.00","6.63M","3.42%"
"Mar 16, 2020","25.74","26.61","31.97","25.30","9.56M","-25.17%"
"Mar 13, 2020","34.40","40.00","40.99","33.13","10.17M","-6.01%"
"Mar 12, 2020","36.60","37.05","37.21","32.47","4.35M","-13.58%"
"Mar 11, 2020","42.35","42.70","44.10","38.51","4.00M","-5.91%"
"Mar 10, 2020","45.01","41.25","45.01","41.25","5.08M","12.30%"
"Mar 09, 2020","40.08","40.23","42.41","39.74","6.60M","-10.13%"
"Mar 06, 2020","44.60","44.00","46.18","43.74","4.44M","-4.29%"
"Mar 05, 2020","46.60","49.59","49.99","45.58","4.61M","-6.84%"
"Mar 04, 2020","50.02","51.35","52.02","50.00","3.52M","-2.08%"
"Mar 03, 2020","51.08","49.22","52.74","48.85","3.97M","1.92%"
"Mar 02, 2020","50.12","50.40","51.50","49.66","4.71M","-3.41%"
"Feb 28, 2020","51.89","51.59","51.89","49.40","6.07M","1.15%"
"Feb 27, 2020","51.30","53.37","53.37","50.42","4.64M","-4.02%"
"Feb 26, 2020","53.45","54.01","55.00","52.72","5.26M","-4.55%"
"Feb 21, 2020","56.00","54.80","56.65","54.08","2.53M","1.82%"
"Feb 20, 2020","55.00","55.21","55.45","54.20","2.16M","-0.74%"
"Feb 19, 2020","55.41","54.29","55.79","53.58","2.52M","2.21%"
"Feb 18, 2020","54.21","53.60","54.21","52.56","1.78M","0.67%"
"Feb 17, 2020","53.85","53.78","53.85","52.96","1.34M","0.65%"
"Feb 14, 2020","53.50","53.52","54.00","52.72","2.15M","0.24%"
"Feb 13, 2020","53.37","53.00","54.24","52.21","2.64M","-1.40%"
"Feb 12, 2020","54.13","53.78","55.08","52.76","2.89M","2.13%"
"Feb 11, 2020","53.00","52.51","53.48","51.93","2.89M","1.63%"
"Feb 10, 2020","52.15","52.80","53.13","51.15","3.03M","-1.23%"
"Feb 07, 2020","52.80","53.03","53.78","52.50","2.71M","-1.60%"
"Feb 06, 2020","53.66","55.55","56.46","53.55","2.82M","-3.32%"
"Feb 05, 2020","55.50","57.06","57.63","54.96","3.01M","-1.94%"
"Feb 04, 2020","56.60","56.65","57.42","55.17","3.78M","3.15%"
"Feb 03, 2020","54.87","53.95","56.16","53.66","4.11M","4.10%"
"Jan 31, 2020","52.71","51.37","53.62","51.16","3.36M","0.80%"
"Jan 30, 2020","52.29","50.21","52.29","49.29","3.56M","0.87%"
"Jan 29, 2020","51.84","52.49","53.05","51.37","2.72M","-0.75%"
"Jan 28, 2020","52.23","51.05","52.69","50.63","1.89M","2.73%"
"Jan 27, 2020","50.84","50.61","50.99","49.85","2.20M","-2.29%"
"Jan 24, 2020","52.03","52.00","52.88","51.46","1.78M","0.08%"
"Jan 23, 2020","51.99","50.30","52.09","49.99","1.96M","1.94%"
"Jan 22, 2020","51.00","51.68","52.16","50.45","2.67M","-0.91%"
"Jan 21, 2020","51.47","51.80","52.50","50.69","2.68M","-1.02%"
"Jan 20, 2020","52.00","49.96","52.37","49.07","2.59M","4.00%"
"Jan 17, 2020","50.00","48.70","50.08","48.50","2.68M","3.09%"
"Jan 16, 2020","48.50","48.75","48.84","48.15","3.12M","0.48%"
"Jan 15, 2020","48.27","48.50","48.81","47.88","2.19M","-0.88%"
"Jan 14, 2020","48.70","47.71","48.70","47.28","2.59M","2.10%"
"Jan 13, 2020","47.70","46.50","47.90","46.08","3.14M","3.45%"
