"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","33.43","32.49","33.66","32.47","3.17M","3.59%"
"Oct 25, 2019","32.27","32.68","32.72","32.00","3.23M","-1.31%"
"Oct 24, 2019","32.70","32.54","32.76","32.29","2.79M","2.25%"
"Oct 23, 2019","31.98","32.17","32.27","31.66","2.11M","-0.62%"
"Oct 22, 2019","32.18","32.63","32.80","31.77","4.77M","-1.77%"
"Oct 21, 2019","32.76","32.54","33.29","32.09","13.38M","10.08%"
"Oct 18, 2019","29.76","30.60","30.66","29.50","4.38M","-1.75%"
"Oct 17, 2019","30.29","30.10","30.35","29.93","5.13M","0.30%"
"Oct 16, 2019","30.20","30.74","30.87","30.07","3.58M","-1.05%"
"Oct 15, 2019","30.52","30.90","31.13","30.32","7.04M","0.73%"
"Oct 14, 2019","30.30","31.00","31.62","30.25","7.99M","1.03%"
"Oct 11, 2019","29.99","31.74","32.63","28.91","34.46M","-15.66%"
"Oct 10, 2019","35.56","35.58","36.11","35.48","2.26M","-0.28%"
"Oct 09, 2019","35.66","35.62","35.86","35.47","1.58M","0.73%"
"Oct 08, 2019","35.40","34.96","35.57","34.90","6.02M","0.34%"
"Oct 07, 2019","35.28","35.25","35.45","35.12","1.76M","-0.23%"
"Oct 04, 2019","35.36","35.05","35.41","34.92","2.40M","1.23%"
"Oct 03, 2019","34.93","34.24","35.03","33.81","2.66M","2.64%"
"Oct 02, 2019","34.03","34.67","34.71","33.97","3.50M","-2.10%"
"Oct 01, 2019","34.76","35.28","35.59","34.74","3.13M","-0.71%"
"Sep 30, 2019","35.01","35.30","35.31","34.62","3.09M","-0.71%"
"Sep 27, 2019","35.26","36.18","36.19","35.09","1.62M","-2.52%"
"Sep 26, 2019","36.17","36.34","36.43","36.00","1.43M","-0.85%"
"Sep 25, 2019","36.48","35.91","36.67","35.42","1.50M","1.31%"
"Sep 24, 2019","36.01","36.72","36.74","35.74","2.25M","-1.59%"
