"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","9.470","9.380","9.550","9.350","2.89M","1.72%"
"Oct 24, 2019","9.310","9.170","9.360","8.950","1.74M","1.75%"
"Oct 23, 2019","9.150","9.050","9.180","8.770","2.86M","0.88%"
"Oct 22, 2019","9.070","9.350","9.435","9.050","1.51M","-1.95%"
"Oct 21, 2019","9.250","9.170","9.280","9.110","979.93K","1.43%"
"Oct 18, 2019","9.120","9.210","9.300","9.000","1.82M","-1.30%"
"Oct 17, 2019","9.240","9.040","9.300","9.040","1.47M","1.54%"
"Oct 16, 2019","9.100","9.210","9.270","9.070","900.18K","-1.52%"
"Oct 15, 2019","9.240","9.120","9.400","9.070","688.29K","1.20%"
"Oct 14, 2019","9.130","9.230","9.310","9.090","1.02M","-1.72%"
"Oct 11, 2019","9.290","9.620","9.740","9.290","2.27M","-2.21%"
"Oct 10, 2019","9.500","9.240","9.650","9.240","1.68M","2.81%"
"Oct 09, 2019","9.240","9.430","9.430","9.140","1.90M","-0.43%"
"Oct 08, 2019","9.280","9.420","9.470","9.170","1.83M","-2.32%"
"Oct 07, 2019","9.500","9.590","9.795","9.440","1.56M","-1.35%"
"Oct 04, 2019","9.630","9.400","9.680","9.330","1.69M","2.34%"
"Oct 03, 2019","9.410","9.550","9.660","9.330","1.38M","-0.42%"
"Oct 02, 2019","9.450","9.300","9.540","8.930","1.70M","1.72%"
"Oct 01, 2019","9.290","9.290","9.430","9.015","1.82M","0.43%"
"Sep 30, 2019","9.250","9.480","9.540","9.180","1.62M","-2.22%"
"Sep 27, 2019","9.460","9.000","9.600","9.000","2.29M","3.96%"
"Sep 26, 2019","9.100","9.120","9.230","8.990","1.27M","0.22%"
"Sep 25, 2019","9.080","8.800","9.148","8.750","1.76M","1.79%"
"Sep 24, 2019","8.920","8.860","9.040","8.810","1.05M","-0.78%"
"Sep 23, 2019","8.990","9.110","9.155","8.900","993.70K","-2.07%"
