Categoria: Todas as categorias

Dia,bitcoin: (Todo o mundo)
2019-06-17,39
2019-06-18,39
2019-06-19,33
2019-06-20,34
2019-06-21,43
2019-06-22,68
2019-06-23,48
2019-06-24,50
2019-06-25,55
2019-06-26,100
2019-06-27,81
2019-06-28,62
2019-06-29,47
2019-06-30,41
2019-07-01,48
2019-07-02,48
2019-07-03,44
2019-07-04,40
2019-07-05,37
2019-07-06,32
2019-07-07,31
2019-07-08,39
2019-07-09,44
2019-07-10,46
2019-07-11,42
2019-07-12,42
2019-07-13,34
2019-07-14,35
2019-07-15,43
2019-07-16,43
2019-07-17,46
2019-07-18,42
2019-07-19,37
2019-07-20,31
2019-07-21,30
2019-07-22,32
2019-07-23,33
2019-07-24,35
2019-07-25,33
2019-07-26,31
2019-07-27,31
2019-07-28,28
2019-07-29,31
2019-07-30,30
2019-07-31,32
2019-08-01,31
2019-08-02,33
2019-08-03,29
2019-08-04,29
2019-08-05,43
2019-08-06,42
2019-08-07,38
2019-08-08,36
2019-08-09,32
2019-08-10,29
2019-08-11,27
2019-08-12,32
2019-08-13,32
2019-08-14,36
2019-08-15,37
2019-08-16,31
2019-08-17,27
2019-08-18,27
2019-08-19,31
2019-08-20,31
2019-08-21,31
2019-08-22,30
2019-08-23,29
2019-08-24,26
2019-08-25,25
2019-08-26,29
2019-08-27,28
2019-08-28,29
2019-08-29,32
2019-08-30,27
2019-08-31,23
2019-09-01,23
2019-09-02,29
2019-09-03,31
2019-09-04,29
2019-09-05,27
2019-09-06,28
2019-09-07,23
2019-09-08,23
2019-09-09,25
2019-09-10,24
2019-09-11,24
2019-09-12,25
2019-09-13,23
2019-09-14,21
2019-09-15,21
